Number,JD,Date,Greatest eclipse,DeltaT,Luna number,Saros number,Type,QSE
09828,2480357.02782,2078 Nov 19,12:40:04,154,975,156,N,a-
09829,2480504.7158,2079 Apr 16,05:10:45,155,980,123,P,-t
09830,2480682.22951,2079 Oct 10,17:30:30,156,986,128,T,-a
09831,2480858.97475,2080 Apr 04,11:23:38,157,992,133,T,p-
09832,2481036.57826,2080 Sep 29,01:52:42,158,998,138,T,p-
09833,2481213.51529,2081 Mar 25,00:22:01,159,1004,143,P,a-
09834,2481390.64961,2081 Sep 18,03:35:26,161,1010,148,N,t-
09835,2481538.77036,2082 Feb 13,06:29:19,161,1015,115,P,-a
09836,2481715.11576,2082 Aug 08,14:46:42,163,1021,120,Nx,-t
09837,2481893.26859,2083 Feb 02,18:26:46,164,1027,125,T,-p
09838,2482069.54553,2083 Jul 29,01:05:34,165,1033,130,T-,pp
09839,2482247.46736,2084 Jan 22,23:13:00,166,1039,135,T,p-
09840,2482424.20753,2084 Jul 17,16:58:51,167,1045,140,P,a-
09841,2482601.43922,2085 Jan 10,22:32:29,168,1051,145,N,t-
09842,2482749.59556,2085 Jun 08,02:17:36,169,1056,112,N,-a
09843,2482778.91991,2085 Jul 07,10:04:40,169,1057,150,N,a-
09844,2482925.8511,2085 Dec 01,08:25:35,170,1062,117,N,-a
09845,2483104.03041,2086 May 28,12:43:47,171,1068,122,P,-t
09846,2483280.34701,2086 Nov 20,20:19:42,172,1074,127,P,-p
09847,2483458.16343,2087 May 17,15:55:20,173,1080,132,T+,pp
09848,2483635.00385,2087 Nov 10,12:05:33,174,1086,137,T-,p-
09849,2483812.17836,2088 May 05,16:16:50,175,1092,142,P,t-
09850,2483989.62731,2088 Oct 30,03:03:20,177,1098,147,P,a-
09851,2484136.89877,2089 Mar 26,09:34:14,178,1103,114,N,-a
09852,2484314.4245,2089 Sep 19,22:11:17,179,1109,119,N,-t
09853,2484491.49203,2090 Mar 15,23:48:31,180,1115,124,T,-p
09854,2484668.45311,2090 Sep 08,22:52:29,181,1121,129,T,-t
09855,2484846.16553,2091 Mar 05,15:58:22,182,1127,134,T,p-
09856,2485022.52668,2091 Aug 29,00:38:25,183,1133,139,T,t-
09857,2485200.72291,2092 Feb 23,05:20:59,184,1139,144,N,a-
09858,2485347.52914,2092 Jul 19,00:41:58,185,1144,111,Ne,-a
09859,2485376.88471,2092 Aug 17,09:13:59,185,1145,149,N,a-
09860,2485525.25003,2093 Jan 12,18:00:03,186,1150,116,N,-t
09861,2485702.22521,2093 Jul 08,17:24:18,187,1156,121,P,-a
09862,2485879.2084,2094 Jan 01,17:00:06,188,1162,126,P,-t
09863,2486056.91802,2094 Jun 28,10:01:57,190,1168,131,T+,pp
09864,2486233.33093,2094 Dec 21,19:56:32,191,1174,136,T+,p-
09865,2486411.41679,2095 Jun 17,22:00:11,192,1180,141,P,t-
09866,2486587.76044,2095 Dec 11,06:15:02,193,1186,146,P,a-
09867,2486735.97549,2096 May 07,11:24:42,194,1191,113,N,-t
09868,2486765.61367,2096 Jun 06,02:43:41,194,1192,151,Nb,t-
09869,2486912.97943,2096 Oct 31,11:30:23,195,1197,118,N,-a
09870,2486942.39053,2096 Nov 29,21:22:22,195,1198,156,N,a-
09871,2487090.0127,2097 Apr 26,12:18:17,196,1203,123,P,-t
09872,2487267.56314,2097 Oct 21,01:30:55,197,1209,128,T,-a
09873,2487444.295,2098 Apr 15,19:04:48,198,1215,133,T-,p-
09874,2487621.88887,2098 Oct 10,09:19:58,200,1221,138,T,pp
09875,2487798.85481,2099 Apr 05,08:30:56,201,1227,143,P,a-
09876,2487975.94211,2099 Sep 29,10:36:38,202,1233,148,Nx,t-
09877,2488124.1286,2100 Feb 24,15:05:11,203,1238,115,N,-a
09878,2488300.40623,2100 Aug 19,21:44:58,204,1244,120,N,-t
