Number,JD,Date,Greatest eclipse,DeltaT,Luna number,Saros number,Type,QLE
09451,2442041.1269,1973 Dec 24,15:02:44,44,-322,141,A,p-
09452,2442218.70005,1974 Jun 20,04:48:04,45,-316,146,T,p-
09453,2442395.17584,1974 Dec 13,16:13:13,45,-310,151,P,t-
09454,2442543.80385,1975 May 11,07:17:33,46,-305,118,P,-t
09455,2442720.05271,1975 Nov 03,13:15:54,46,-299,123,P,-t
09456,2442897.93354,1976 Apr 29,10:24:18,47,-293,128,A,-p
09457,2443074.71788,1976 Oct 23,05:13:45,47,-287,133,T,-n
09458,2443251.93854,1977 Apr 18,10:31:30,48,-281,138,A,p-
09459,2443429.3524,1977 Oct 12,20:27:27,48,-275,143,T,n-
09460,2443606.12763,1978 Apr 07,15:03:47,49,-269,148,P,t-
09461,2443783.76994,1978 Oct 02,06:28:43,49,-263,153,P,t-
09462,2443931.20493,1979 Feb 26,16:55:06,50,-258,120,T,-p
09463,2444108.22405,1979 Aug 22,17:22:38,50,-252,125,A,-t
09464,2444285.87084,1980 Feb 16,08:54:01,51,-246,130,T,-n
09465,2444462.30024,1980 Aug 10,19:12:21,51,-240,135,A,nn
09466,2444640.42319,1981 Feb 04,22:09:24,51,-234,140,A,n-
09467,2444816.65737,1981 Jul 31,03:46:37,52,-228,145,T,p-
09468,2444994.69645,1982 Jan 25,04:42:53,52,-222,150,P,t-
09469,2445142.00316,1982 Jun 21,12:04:33,53,-217,117,P,-t
09470,2445171.28106,1982 Jul 20,18:44:44,53,-216,155,P,t-
09471,2445318.89733,1982 Dec 15,09:32:09,53,-211,122,P,-t
09472,2445496.69691,1983 Jun 11,04:43:33,53,-205,127,T,-p
09473,2445673.0217,1983 Dec 04,12:31:15,54,-199,132,A,-n
09474,2445851.19839,1984 May 30,16:45:41,54,-193,137,A,nn
09475,2446027.45436,1984 Nov 22,22:54:17,54,-187,142,T,n-
09476,2446205.39558,1985 May 19,21:29:38,55,-181,147,P,t-
09477,2446382.09128,1985 Nov 12,14:11:27,55,-175,152,T,t-
09478,2446529.76484,1986 Apr 09,06:21:22,55,-170,119,P,-t
09479,2446707.29601,1986 Oct 03,19:06:15,55,-164,124,H,-t
09480,2446884.03457,1987 Mar 29,12:49:47,55,-158,129,H,-n
09481,2447061.63359,1987 Sep 23,03:12:22,56,-152,134,A,-n
09482,2447238.58259,1988 Mar 18,01:58:56,56,-146,139,T,n-
09483,2447415.69756,1988 Sep 11,04:44:29,56,-140,144,A,p-
09484,2447593.25603,1989 Mar 07,18:08:41,56,-134,149,P,t-
09485,2447769.73041,1989 Aug 31,05:31:47,57,-128,154,P,t-
09486,2447918.31347,1990 Jan 26,19:31:24,57,-123,121,A,-t
09487,2448094.62716,1990 Jul 22,03:03:07,57,-117,126,T,-p
09488,2448272.49573,1991 Jan 15,23:53:51,58,-111,131,A,-n
09489,2448449.29654,1991 Jul 11,19:07:01,58,-105,136,Tm,nn
09490,2448626.46223,1992 Jan 04,23:05:37,58,-99,141,A,p-
09491,2448804.00789,1992 Jun 30,12:11:22,59,-93,146,T,p-
09492,2448980.522,1992 Dec 24,00:31:41,59,-87,151,P,t-
09493,2449129.0974,1993 May 21,14:20:15,59,-82,118,P,-t
09494,2449305.40684,1993 Nov 13,21:45:51,60,-76,123,P,-t
09495,2449483.21697,1994 May 10,17:12:26,60,-70,128,A,-p
09496,2449660.06951,1994 Nov 03,13:40:06,61,-64,133,T,-n
09497,2449837.23149,1995 Apr 29,17:33:21,61,-58,138,A,p-
09498,2450014.68993,1995 Oct 24,04:33:30,61,-52,143,T,n-
09499,2450191.44319,1996 Apr 17,22:38:12,62,-46,148,P,t-
09500,2450369.08546,1996 Oct 12,14:03:04,62,-40,153,P,t-
09501,2450516.55892,1997 Mar 09,01:24:51,62,-35,120,T,-p
09502,2450693.50333,1997 Sep 02,00:04:48,63,-29,125,P,-t
09503,2450871.22878,1998 Feb 26,17:29:27,63,-23,130,T,-n
09504,2451047.58832,1998 Aug 22,02:07:11,63,-17,135,A,nn
09505,2451225.77405,1999 Feb 16,06:34:38,63,-11,140,A,n-
09506,2451401.96122,1999 Aug 11,11:04:09,64,-5,145,T,p-
09507,2451580.03503,2000 Feb 05,12:50:27,64,1,150,P,t-
09508,2451727.31498,2000 Jul 01,19:33:34,64,6,117,P,-t
09509,2451756.59315,2000 Jul 31,02:14:08,64,7,155,P,t-
09510,2451904.2333,2000 Dec 25,17:35:57,64,12,122,P,-t
09511,2452082.00331,2001 Jun 21,12:04:46,64,18,127,T,-p
09512,2452258.37015,2001 Dec 14,20:53:01,64,24,132,A,-n
09513,2452436.48984,2002 Jun 10,23:45:22,64,30,137,A,nn
09514,2452612.81407,2002 Dec 04,07:32:16,64,36,142,T,n-
09515,2452790.67317,2003 May 31,04:09:22,64,42,147,An,t-
09516,2452967.45164,2003 Nov 23,22:50:22,64,48,152,T,t-
09517,2453115.06603,2004 Apr 19,13:35:05,65,53,119,P,-t
09518,2453292.62527,2004 Oct 14,03:00:23,65,59,124,P,-t
09519,2453469.35892,2005 Apr 08,20:36:51,65,65,129,H,-n
09520,2453646.93943,2005 Oct 03,10:32:47,65,71,134,A,-p
09521,2453823.92527,2006 Mar 29,10:12:23,65,77,139,T,n-
