Altitude (km),Pressure (atm),Pressure (mbar),Temperature (K),log P,log T,Type
333.458,1.2943E-006,0.0013114495,185.3858,-2.8822484364,2.2680764654,High
337.228,1.1304E-006,0.0011453778,186.1914,-2.9410512387,2.2699596175,High
341,9.8717E-007,0.00100025,186.9444,-2.9998914389,2.2717124602,High
350,6.57360171979423E-007,0.0006660702,184.0136331126,-3.17648,2.26485,High Ext
400,0.000000103,0.0001043566,188.5384793614,-3.98148,2.2754,High Ext
450,1.61362787497413E-008,1.63500844431754E-005,193.1745903748,-4.78648,2.28595,High Ext
500,2.52815319987206E-009,2.56165122977036E-006,197.9247021238,-5.59148,2.2965,High Ext
600,6.20588019994359E-011,6.28810811259284E-008,207.7782097504,-7.20148,2.3176,High Ext
700,1.52336294564748E-012,1.5435475046773E-009,218.1222656084,-8.81148,2.3387,High Ext
800,3.73941260450507E-014,3.78895982151477E-011,228.9812912108,-10.42148,2.3598,High Ext
900,9.17916945970356E-016,9.30079345504463E-013,240.3809238746,-12.03148,2.3809,High Ext
1000,2.2532189111318E-017,2.2830740617043E-014,252.3480772481,-13.64148,2.402,High Ext
