Name,RA,Dec,AVM code,AVM description,Source
NGC 3390,162.0180958,-31.5333444,5.3.2.4;5.1.3,Lenticular Galaxy,Simbad
NGC 3391,162.2349708,14.2199361,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3392,162.7628000,65.7815250,5.3.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3393,162.0977792,-25.1620278,5.3.2.2;5.1.1,Spiral Galaxy,Simbad
NGC 3394,162.6656792,65.7271417,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 3395,162.4588167,32.9828389,5,Galaxy,Simbad
NGC 3396,162.4830792,32.9906778,5,Galaxy,Simbad
NGC 3397,161.1640333,76.8093861,5.5.1;5.1.1,Spiral Galaxy,Simbad
NGC 3398,162.8811333,55.3910528,5,Galaxy,Simbad
NGC 3399,162.3650500,16.2183667,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3400,162.6895917,28.4689278,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 3401,162.5827875,5.8115139,0,Lost object of unknown nature,DSObrowser
NGC 3402,162.6087667,-12.8450722,5;5.5.3;5.1.4,Elliptical Galaxy,Simbad
NGC 3403,163.4785458,73.6903750,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3404,162.5749667,-12.1088000,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3405,162.4304208,16.2389306,5.5.1;5.1.4,Elliptical Galaxy,Simbad
NGC 3406,162.9333292,51.0233306,5.5.1,Pair of Galaxies,Simbad
NGC 3407,163.0743417,61.3797750,5,Galaxy,Simbad
NGC 3408,163.0486292,58.4380111,5,Radio Galaxy,Simbad
NGC 3409,162.5847458,-17.0436750,5,Galaxy,Simbad
NGC 3410,162.9738750,51.0065083,5,Galaxy,Simbad
NGC 3411,162.6087667,-12.8450722,5;5.5.3;5.1.4,Elliptical Galaxy,Simbad
NGC 3412,162.7221375,13.4121417,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 3413,162.8362875,32.7663722,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3414,162.8176750,27.9749667,5.1.7;5.1.3,Lenticular Galaxy,Simbad
NGC 3415,162.9275500,43.7126361,5,Galaxy,Simbad
NGC 3416,162.9512333,43.7642389,5;5.1.1,Spiral Galaxy,Simbad
NGC 3417,162.7570792,8.4734056,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3418,162.8497458,28.1119194,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 3419,162.8239000,13.9460333,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 3420,162.5403125,-17.2424139,5,Galaxy,Simbad
NGC 3421,162.7402792,-12.4485056,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 3422,162.8222042,-12.4024056,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3423,162.8097542,5.8401000,5.3.2,Active Galaxy Nucleus,Simbad
NGC 3424,162.9430083,32.9006778,5.3.2,Active Galaxy Nucleus,Simbad
NGC 3425,162.8562917,8.5670611,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 3426,162.9239208,18.4810278,5;5.1.3,Lenticular Galaxy,Simbad
NGC 3427,162.8597417,8.2987306,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 3428,162.8729875,9.2795667,5;5.1.2,Barred Galaxy,Simbad
NGC 3429,162.7397625,9.2650667,5,Galaxy,Simbad
NGC 3430,163.0475625,32.9504250,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 3431,162.8126542,-17.0079583,5,Emission-line galaxy,Simbad
NGC 3432,163.1297167,36.6187778,5.1.7,Interacting Galaxies,Simbad
NGC 3433,163.0159458,10.1482389,5;5.1.1,Spiral Galaxy,Simbad
NGC 3434,162.9918500,3.7920028,5,Radio Galaxy,Simbad
NGC 3435,163.7015375,61.2899139,5,Galaxy,Simbad
NGC 3436,163.1203750,7.9043111,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3437,163.1489417,22.9341167,5;5.1.1,Spiral Galaxy,Simbad
NGC 3438,163.1082917,10.5473639,5,Radio Galaxy,Simbad
NGC 3439,163.1071917,8.5576444,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3440,163.4562833,57.1187556,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3441,163.1295917,7.2248639,5;5.1.1,Spiral Galaxy,Simbad
NGC 3442,163.2839042,33.9102750,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3443,163.2504875,17.5736278,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3444,163.2476208,10.2107694,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3445,163.6477792,56.9906861,5.1.7,Interacting Galaxies,Simbad
NGC 3446,163.0287500,-45.1391694,3.6.4.1,Open Cluster,DSObrowser
NGC 3447,163.3504167,16.7719444,5.5.1;5.1.1,Spiral Galaxy,Simbad
NGC 3448,163.6635000,54.3052278,5.1.7;5.1.6,Irregular Galaxy,Simbad
NGC 3449,163.2235417,-32.9276306,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3450,162.0150750,-20.8492417,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3451,163.5869125,27.2396556,5;5.1.1,Spiral Galaxy,Simbad
NGC 3452,163.5587167,-11.4049889,5,Galaxy,Simbad
NGC 3453,163.4187333,-21.7927194,5;5.1.1,Spiral Galaxy,Simbad
NGC 3454,163.6227417,17.3440500,5.5.1;5.1.2,Barred Galaxy,Simbad
NGC 3455,163.6294417,17.2846083,5.5.1;5.1.1,Spiral Galaxy,Simbad
NGC 3456,163.5137500,-16.0277417,5;5.1.1,Spiral Galaxy,Simbad
NGC 3457,163.7025917,17.6211583,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3458,164.0060417,57.1169694,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3459,163.6844958,-17.0420361,5;5.1.2,Barred Galaxy,Simbad
NGC 3460,163.7026375,17.6212417,;5.1.4,Elliptical Galaxy,Simbad
NGC 3461,163.7303875,17.7081278,5,G,NED*
NGC 3462,163.8378458,7.6967361,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 3463,163.8056792,-26.1407278,5;5.1.1,Spiral Galaxy,Simbad
NGC 3464,163.6669750,-21.0665750,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3465,164.8802333,75.1912306,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3466,164.0645292,9.7543389,5.3.2;5.1.1,Spiral Galaxy,Simbad
NGC 3467,164.1836542,9.7590028,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 3468,164.3798375,40.9461972,5,Radio Galaxy,Simbad
NGC 3469,164.2403875,-14.3005083,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 3470,164.6869500,59.5106583,5.5.1;5.1.1,Spiral Galaxy,Simbad
NGC 3471,164.7875667,61.5304528,5;5.1.1,Spiral Galaxy,Simbad
NGC 3472,164.3426708,-19.6376889,5.1.4,Elliptical galaxy,DSObrowser
NGC 3473,164.5216375,17.1244917,5.5.1;5.1.2,Barred Galaxy,Simbad
NGC 3474,164.5364708,17.0956000,5.3.2,Active Galaxy Nucleus,Simbad
NGC 3475,164.6049042,24.2264417,5.3.2;5.1.1,Spiral Galaxy,Simbad
NGC 3476,164.5316000,9.2759972,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3477,164.5522917,9.2179694,5,Galaxy,Simbad
NGC 3478,164.8645792,46.1222194,5,Radio Galaxy,Simbad
NGC 3479,164.7311875,-14.9613417,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3480,164.5316708,9.2761278,;5.1.4,Elliptical Galaxy,Simbad
NGC 3481,164.8590083,-7.5436250,5,Galaxy,Simbad
NGC 3482,164.6428833,-46.5838361,5;5.1.1,Spiral Galaxy,Simbad
NGC 3483,164.7507917,-28.4769556,5;5.1.3,Lenticular Galaxy,Simbad
NGC 3484,164.3501917,-19.6332556,0,Lost object of unknown nature,DSObrowser
NGC 3485,165.0099625,14.8415500,5.3.2;5.1.2,Barred Galaxy,Simbad
NGC 3486,165.0997750,28.9748194,5.3.2.2;5.1.1,Spiral Galaxy,Simbad
NGC 3487,165.1939250,17.5876472,5,Radio Galaxy,Simbad
NGC 3488,165.3480667,57.6774889,5,Galaxy,Simbad
NGC 3489,165.0774542,13.9012583,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3490,164.9766833,9.3617250,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3491,165.1473833,12.1615361,5,Radio Galaxy,Simbad
NGC 3492,165.2393792,10.5054889,5;5.5.3;5.1.4,Elliptical Galaxy,Simbad
NGC 3493,165.3659208,27.7194361,5,Galaxy,Simbad
NGC 3494,165.2954375,3.7743167,3.6.3,,NED*
NGC 3495,165.3173667,3.6280361,5.5.2,Galaxy in Group of Galaxies,Simbad
