Name,RA,Dec,AVM code,AVM description,Source
NGC 3133,151.8033917,-11.9653722,5,Galaxy,Simbad
NGC 3134,153.1220083,12.3770667,5,Galaxy,Simbad
NGC 3135,152.7266833,45.9503861,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3136,151.4506542,-67.3779833,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3137,152.2811583,-29.0643000,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3138,152.3195042,-11.9568250,5,Galaxy,Simbad
NGC 3139,152.5217292,-11.7781694,5,Galaxy,Simbad
NGC 3140,152.3659500,-16.6282000,5,Galaxy,Simbad
NGC 3141,152.3329000,-16.6534722,5,Galaxy,Simbad
NGC 3142,152.5265417,-8.4796389,5,Galaxy,Simbad
NGC 3143,152.5166167,-12.5813111,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 3144,153.8843250,74.2202611,5;5.1.2,Barred Galaxy,Simbad
NGC 3145,152.5411083,-12.4337361,5.5.1;5.1.2,Barred Galaxy,Simbad
NGC 3146,152.7911375,-20.8707500,5;5.1.1,Spiral Galaxy,Simbad
NGC 3147,154.2234667,73.4006500,5.3.2.2,Seyfert 2 Galaxy,Simbad
NGC 3148,153.3596792,50.4454806,5,Galaxy,Simbad
NGC 3149,150.9336250,-80.4216306,5;5.1.1,Spiral Galaxy,Simbad
NGC 3150,153.3595583,38.6576000,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3151,153.3712750,38.6198194,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3152,153.3922583,38.8432194,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3153,153.2104333,12.6666917,5;5.1.2,Barred Galaxy,Simbad
NGC 3154,153.2554000,17.0341694,5,Radio Galaxy,Simbad
NGC 3155,154.4161542,74.3473583,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3156,153.1716917,3.1293194,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 3157,152.9267583,-31.6428250,5;5.1.1,Spiral Galaxy,Simbad
NGC 3158,153.4603875,38.7649111,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3159,153.4700000,38.6546361,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3160,153.4792792,38.8429722,5.3.2,Active Galaxy Nucleus,Simbad
NGC 3161,153.4966875,38.6571306,5.3.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3162,153.3815458,22.7375750,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3163,153.5297542,38.6526750,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3164,153.7976542,56.6719806,5,Galaxy,Simbad
NGC 3165,153.3808333,3.3755000,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3166,153.4403083,3.4246694,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 3167,153.6495292,29.5963389,0,Lost object of unknown nature,DSObrowser
NGC 3168,154.0958417,60.2349667,5,Radio Galaxy,Simbad
NGC 3169,153.5629125,3.4661194,5.3.2.4,LINER-type Active Galaxy Nucleus,Simbad
NGC 3170,154.0605542,46.6123639,3.6.3,,NED*
NGC 3171,153.9035208,-20.6472778,5.3.2.4;5.1.3,Lenticular Galaxy,Simbad
NGC 3172,176.7997000,89.0932694,5,Galaxy,Simbad
NGC 3173,153.6453250,-27.6927750,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3174,153.8843250,74.2202611,5;5.1.2,Barred Galaxy,Simbad
NGC 3175,153.6754625,-28.8720611,5;5.1.1,Spiral Galaxy,Simbad
NGC 3176,153.8231000,-19.0325556,5,Galaxy,DSObrowser
NGC 3177,154.1423333,21.1228667,5.3.2;5.1.1,Spiral Galaxy,Simbad
NGC 3178,154.0382083,-15.7913111,5,Emission-line galaxy,Simbad
NGC 3179,154.4883750,41.1141806,5,Galaxy,Simbad
NGC 3180,154.5707708,41.4243806,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3181,154.5479542,41.4126833,4.2.1.1,,NED*
NGC 3182,154.8875583,58.2058167,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 3183,155.4541458,74.1768944,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 3184,154.5707708,41.4243806,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3185,154.4107667,21.6882833,5.3.2.2,Seyfert 2 Galaxy,Simbad
NGC 3186,154.4080667,6.9711694,5.3.2.2,Seyfert 1 Galaxy,Simbad
NGC 3187,154.4493708,21.8732806,5,Low Surface Brightness Galaxy,Simbad
NGC 3188,154.9282250,57.4235833,5,Radio Galaxy,Simbad
NGC 3189,154.5235125,21.8319389,5.1.7;5.1.1,Spiral Galaxy,Simbad
NGC 3190,154.5235125,21.8319389,5.1.7;5.1.1,Spiral Galaxy,Simbad
NGC 3191,154.7705542,46.4533722,5,Galaxy,Simbad
NGC 3192,154.7705542,46.4533722,5,Galaxy,Simbad
NGC 3193,154.6036833,21.8939778,5.3.2.4;5.1.4,Elliptical Galaxy,Simbad
NGC 3194,154.4161542,74.3473583,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3195,152.3371250,-80.8585361,4.1.3,Planetary Nebula,Simbad
NGC 3196,154.7044083,27.6688278,5,Galaxy,Simbad
NGC 3197,153.6151417,77.8202500,5;5.1.1,Spiral Galaxy,Simbad
NGC 3198,154.9791250,45.5496889,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 3199,154.1366708,-57.9338889,4.2.1.1,HII (ionized) region,Simbad
NGC 3200,154.6522833,-17.9825417,5;5.1.1,Spiral Galaxy,Simbad
NGC 3201,154.4034167,-46.4124722,3.6.4.2,Globular Cluster,Simbad
NGC 3202,155.1324000,43.0216417,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3203,154.8910042,-26.6989472,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 3204,155.0459917,27.8169944,5;5.1.2,Barred Galaxy,Simbad
NGC 3205,155.2079917,42.9722028,5.3.2,Active Galaxy Nucleus,Simbad
NGC 3206,155.4482583,56.9304083,5,Galaxy,Simbad
NGC 3207,155.2524250,42.9852417,5.3.2.1,Possible Quasar,Simbad
NGC 3208,154.9220125,-25.8147833,5;5.1.1,Spiral Galaxy,Simbad
NGC 3209,155.1600208,25.5049389,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3210,156.9966708,79.8325000,3.6.3,,NED*
NGC 3211,154.4606000,-62.6700278,4.1.3,Planetary Nebula,Simbad
NGC 3212,157.0696125,79.8233417,5.5.1;5.1.2,Barred Galaxy,Simbad
NGC 3213,155.3221292,19.6516806,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3214,155.7865750,57.0390250,5,Galaxy,Simbad
NGC 3215,157.1686542,79.8130806,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 3216,155.4219042,23.9229056,5;5.1.4,Elliptical Galaxy,Simbad
NGC 3217,155.8859000,10.9597139,5,G,NED*
NGC 3218,155.4541458,74.1768944,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 3219,155.6560500,38.5790889,5;5.5.3,Brightest galaxy in a Cluster (BCG),Simbad
NGC 3220,155.9344333,57.0271111,5,Galaxy,Simbad
NGC 3221,155.5832833,21.5696000,5;5.1.2,Barred Galaxy,Simbad
NGC 3222,155.6436250,19.8872222,5;5.1.4,Elliptical Galaxy,Simbad
NGC 3223,155.3961500,-34.2667889,5;5.1.1,Spiral Galaxy,Simbad
NGC 3224,155.4216000,-34.6967972,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3225,156.2913667,58.1500222,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 3226,155.8625500,19.8984389,5.3.2.4;5.2.2,Dwarf Galaxy,Simbad
NGC 3227,155.8773750,19.8650833,5.3.2.2,Seyfert 1 Galaxy,Simbad
NGC 3228,155.3417000,-51.7283000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 3229,155.4716625,0.2953333,5;5.1.2,Barred Galaxy,Simbad
NGC 3230,155.9330917,12.5678833,5,Low Surface Brightness Galaxy,Simbad
NGC 3231,156.7408292,66.8152806,3.6.4,Cluster of Stars,Simbad
NGC 3232,156.1016708,28.0258306,5.1.7,Interacting Galaxies,Simbad
NGC 3233,155.4894875,-22.2677222,5;5.1.2,Barred Galaxy,Simbad
NGC 3234,0.0000000,0.0000000,4.1.3,Planetary Nebula,Simbad
NGC 3235,156.2471750,28.0238639,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3236,156.7023167,61.2729611,5,Galaxy,Simbad
NGC 3237,156.4305833,39.6465278,5,Galaxy,Simbad
NGC 3238,156.6793500,57.2264944,5,Galaxy,Simbad
NGC 3239,156.2760000,17.1605000,5.1.7;5.1.6,Irregular Galaxy,Simbad
NGC 3240,156.1276417,-21.7909944,5;5.1.1,Spiral Galaxy,Simbad
NGC 3241,156.0706500,-32.4826167,5;5.1.1,Spiral Galaxy,Simbad
NGC 3242,156.1921125,-18.6424000,4.1.3,Planetary Nebula,Simbad
NGC 3243,156.5894167,-2.6221611,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3244,156.3702083,-39.8275639,5;5.1.1,Spiral Galaxy,Simbad
NGC 3245,156.8265250,28.5074361,5.3.2.4;5.1.3,Lenticular Galaxy,Simbad
NGC 3246,156.6740250,3.8621083,5;5.1.2,Barred Galaxy,Simbad
NGC 3247,156.0720792,-57.7600000,3.6.4,Cluster of Stars,Simbad
NGC 3248,156.9392708,22.8471694,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 3249,156.5926042,-34.9637194,5;5.1.1,Spiral Galaxy,Simbad
NGC 3250,156.6344917,-39.9439083,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3251,157.3200375,26.0990972,5;5.1.2,Barred Galaxy,Simbad
NGC 3252,158.5962667,73.7649778,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3253,157.1137708,12.7040083,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3254,157.3330083,29.4914389,5.3.2.2;5.1.1,Spiral Galaxy,Simbad
NGC 3255,156.6650000,-60.6820000,3.6.4,Cluster of Stars,Simbad
NGC 3256,156.9650000,-43.9050000,5.1.7;5.1.1,Spiral Galaxy,Simbad
NGC 3257,157.1962583,-35.6580389,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 3258,157.2232833,-35.6055500,5;5.5.3;5.1.4,Elliptical Galaxy,Simbad
NGC 3259,158.1450667,65.0410528,5.3.2.2,Seyfert 1 Galaxy,Simbad
NGC 3260,157.2765792,-35.5952667,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3261,157.2561667,-44.6568000,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 3262,157.2760000,-44.1595806,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3263,157.3058167,-44.1229222,5.1.7,Interacting Galaxies,Simbad
NGC 3264,158.0824167,56.0834722,5,Galaxy,Simbad
NGC 3265,157.7782000,28.7964000,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3266,158.3234250,64.7494139,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3267,157.4523458,-35.3224306,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 3268,157.5027292,-35.3255083,5;5.5.3;5.1.4,Elliptical Galaxy,Simbad
NGC 3269,157.4877917,-35.2243889,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3270,157.8749833,24.8693083,5.3.2;5.1.1,Spiral Galaxy,Simbad
NGC 3271,157.6103375,-35.3595389,5;5.5.3;5.1.3,Lenticular Galaxy,Simbad
NGC 3272,158.0434417,28.4832111,5,Galaxy,Simbad
NGC 3273,157.6214583,-35.6106528,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 3274,158.0720042,27.6687750,5;5.1.6,Irregular Galaxy,Simbad
NGC 3275,157.7159250,-36.7369528,5;5.1.2,Barred Galaxy,Simbad
NGC 3276,157.7882708,-39.9446444,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 3277,158.2310792,28.5117278,5.3.2.2;5.1.1,Spiral Galaxy,Simbad
NGC 3278,157.8974458,-39.9546194,5;5.1.1,Spiral Galaxy,Simbad
NGC 3279,158.6783000,11.1972444,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3280,158.1932500,-12.6345833,5,Galaxy,Simbad
NGC 3281,157.9670250,-34.8537222,5.3.2.2;5.1.1,Spiral Galaxy,Simbad
NGC 3282,158.0912917,-22.3023000,5;5.1.3,Lenticular Galaxy,Simbad
NGC 3283,157.7983708,-46.2512083,5.5.1;5.1.3,Lenticular Galaxy,Simbad
NGC 3284,159.0884917,58.6201778,;5.1.4,Elliptical Galaxy,Simbad
NGC 3285,158.3992625,-27.4544500,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3286,159.0886833,58.6201333,5;5.1.4,Elliptical Galaxy,Simbad
NGC 3287,158.6971125,21.6483306,5;5.1.6,Irregular Galaxy,Simbad
NGC 3288,159.1071625,58.5562278,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 3289,158.5310042,-35.3234444,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3290,158.8226167,-17.2767806,5;5.1.2,Barred Galaxy,Simbad
NGC 3291,159.0270083,37.2744111,3,*,NED*
NGC 3292,158.8934167,-6.1796472,5,Galaxy,Simbad
NGC 3293,158.9550000,-58.2300000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 3294,159.0677792,37.3245889,5,Galaxy,Simbad
NGC 3295,158.1886250,-12.6362500,5.1.4,Elliptical galaxy,DSObrowser
NGC 3296,158.1891958,-12.7171806,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3297,158.2988583,-12.6718417,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3298,159.3009500,50.1206444,5;5.5.3,Brightest galaxy in a Cluster (BCG),Simbad
NGC 3299,159.1002500,12.7070000,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3300,159.1601417,14.1715417,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3301,159.2334583,21.8821667,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 3302,158.9475708,-32.3585444,5;5.1.3,Lenticular Galaxy,Simbad
NGC 3303,159.2503792,18.1357806,5.3.2.4;5.1.1,Spiral Galaxy,Simbad
NGC 3304,159.4077750,37.4556861,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3305,159.0493000,-27.1622167,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3306,159.2925583,12.6524278,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3307,159.0716083,-27.5297139,5.5.3,Galaxy in Cluster of Galaxies,Simbad
NGC 3308,159.0932167,-27.4381111,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 3309,159.1485458,-27.5184306,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3310,159.6910708,53.5033028,5.3.2,Active Galaxy Nucleus,Simbad
NGC 3311,159.1784208,-27.5283389,5;5.5.3;5.1.3,Lenticular Galaxy,Simbad
NGC 3312,159.2606208,-27.5650472,5.3.2.4;5.1.1,Spiral Galaxy,Simbad
NGC 3313,159.3560042,-25.3194861,5;5.1.2,Barred Galaxy,Simbad
NGC 3314,159.3035583,-27.6839389,5,Emission-line galaxy,Simbad
NGC 3315,159.3301500,-27.1922944,5.5.3;5.1.3,Lenticular Galaxy,Simbad
NGC 3316,159.4053792,-27.5940194,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 3317,159.4296333,-27.5196194,3.6,Three stars,DSObrowser
NGC 3318,159.3146958,-41.6276444,5;5.1.2,Barred Galaxy,Simbad
NGC 3319,159.7897208,41.6868722,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3320,159.9021750,47.3979639,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3321,159.7106333,-11.6489000,5;5.1.1,Spiral Galaxy,Simbad
NGC 3322,159.7106333,-11.6489000,5;5.1.1,Spiral Galaxy,Simbad
NGC 3323,159.9126000,25.3226139,5;5.1.2,Barred Galaxy,Simbad
NGC 3324,159.3333000,-58.6417000,3.6.4,Cluster of Stars,Simbad
NGC 3325,159.8352500,-0.2002861,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3326,159.8826458,5.1074139,5,Radio Galaxy,Simbad
NGC 3327,159.9914542,24.0912389,5;5.1.1,Spiral Galaxy,Simbad
NGC 3328,159.9760458,9.3001056,3,*,NED*
NGC 3329,161.1640333,76.8093861,5.5.1;5.1.1,Spiral Galaxy,Simbad
NGC 3330,159.7000000,-54.1170000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 3331,160.0371875,-23.8203500,5;5.1.1,Spiral Galaxy,Simbad
NGC 3332,160.1181167,9.1824528,5,Radio Galaxy,Simbad
NGC 3333,159.9575667,-36.0361778,5;5.1.1,Spiral Galaxy,Simbad
NGC 3334,160.3800500,37.3128972,5,Emission-line galaxy,Simbad
NGC 3335,159.8919083,-23.9226972,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3336,160.0709542,-27.7771472,5;5.1.1,Spiral Galaxy,Simbad
NGC 3337,160.4481667,4.9883639,5,Galaxy,Simbad
NGC 3338,160.5314500,13.7469306,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3339,160.5749042,-0.3768111,5;5.1.1,Spiral Galaxy,Simbad
NGC 3340,160.5749042,-0.3768111,5;5.1.1,Spiral Galaxy,Simbad
NGC 3341,160.6311667,5.0439472,5.3.2,Active Galaxy Nucleus,Simbad
NGC 3342,160.1182208,9.1825528,5,G,NED*
NGC 3343,161.5430292,73.3530028,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3344,160.8797917,24.9222194,5;5.1.1,Spiral Galaxy,Simbad
NGC 3345,160.8834292,11.9852778,3.6.3,,NED*
NGC 3346,160.9120333,14.8719833,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3347,160.6937708,-36.3525167,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 3348,161.7916417,72.8396750,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3349,160.9605708,6.7629667,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 3350,161.0957792,30.7247056,5;5.1.1,Spiral Galaxy,Simbad
NGC 3351,160.9905542,11.7036111,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 3352,161.0621625,22.3709639,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 3353,161.3432917,55.9603778,5.3.2,Active Galaxy Nucleus,Simbad
NGC 3354,160.7622667,-36.3623778,5,Emission-line galaxy,Simbad
NGC 3355,160.3581667,-23.3833889,5,Galaxy,Simbad
NGC 3356,161.0509958,6.7587278,5,Galaxy,Simbad
NGC 3357,161.0865000,14.0845389,5,Radio Galaxy,Simbad
NGC 3358,160.8876333,-36.4107139,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3359,161.6535208,63.2236389,5;5.1.2,Barred Galaxy,Simbad
NGC 3360,161.0674750,-11.2426194,5,Galaxy,Simbad
NGC 3361,161.1215667,-11.2078917,5,Emission-line galaxy,Simbad
NGC 3362,161.2155542,6.5968528,5.3.2.2,Seyfert 2 Galaxy,Simbad
NGC 3363,161.2892917,22.0784750,5,Radio Galaxy,Simbad
NGC 3364,162.1241292,72.4250639,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3365,161.5527042,1.8133194,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3366,158.7854208,-43.6922194,5;5.1.1,Spiral Galaxy,Simbad
NGC 3367,161.6456917,13.7507444,5.3.2.2;5.1.2,Barred Galaxy,Simbad
NGC 3368,161.6906000,11.8199389,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3369,161.6860208,-25.2444028,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 3370,161.7668292,17.2736972,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3371,162.0704042,12.6293000,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 3372,161.0791708,-59.8891694,4.2.1.1,HII (ionized) region,Simbad
NGC 3373,162.1162625,12.5332000,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3374,162.0044708,43.1865472,5,Radio Galaxy,Simbad
NGC 3375,161.7532667,-9.9412750,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 3376,161.8607958,6.0480333,5;5.1.1,Spiral Galaxy,Simbad
NGC 3377,161.9266667,13.9856389,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3378,161.6803125,-40.0160028,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3379,161.9566667,12.5816306,5.3.2.4;5.1.4,Elliptical Galaxy,Simbad
NGC 3380,162.0506458,28.6017722,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3381,162.1034375,34.7112500,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 3382,162.1043125,36.7254389,3.6.3,,NED*
NGC 3383,161.8299875,-24.4381250,5;5.1.1,Spiral Galaxy,Simbad
NGC 3384,162.0704042,12.6293000,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 3385,162.0484750,4.9277194,5,Galaxy,Simbad
NGC 3386,162.0495750,4.9985500,5;5.1.4,Elliptical Galaxy,Simbad
NGC 3387,162.0495750,4.9985500,5;5.1.4,Elliptical Galaxy,Simbad
NGC 3388,162.8563583,8.5671500,;5.1.3,Lenticular Galaxy,Simbad
NGC 3389,162.1162625,12.5332000,5.5.2,Galaxy in Group of Galaxies,Simbad
