Name,RA,Dec,AVM code,AVM description,Source (S=S, N=N)
180,9.4903833,8.6352222,5.5.2;5.1.2,SB,S
181,9.5966417,29.4726222,5.5.1,GiP,S
182,9.5516458,2.7285833,5.5.2;5.1.1,S..,S
183,9.6224833,29.5112361,5.5.2;5.1.4,E,S
184,9.6489625,29.4476250,5.5.1,GiP,S
185,9.7415417,48.3373778,5.3.2.2;5.2.2,d,S
186,9.6054500,3.1664694,5.5.2;5.1.2,SB,S
187,9.8767125,-14.6562528,5.5.2,GiG,S
188,12.1083333,85.2550000,3.6.4.1,OpC,S
189,9.8700000,61.1150000,3.6.4.1,OpC,S
190,9.7278125,7.0627278,5.5.3,GiC,S
191,9.7476833,-9.0027556,5.1.7,IG,S
192,9.8057958,0.8641361,5,rG,S
193,9.8274083,3.3313528,5,rG,S
194,9.8267875,3.0374639,5.5.2;5.1.4,E,S
195,9.8990958,-9.1944472,5.3.2.1,Q?,S
196,9.8244167,0.9127417,5.5.2,GiG,S
197,9.8283042,0.8919083,5.5.1,GiP,S
198,9.8457750,2.7979306,5.5.2;5.1.1,S..,S
199,9.8882833,3.1384917,5.5.2;5.1.3,S0,S
200,9.8952667,2.8873806,5.5.2;5.1.2,SB,S
201,9.8952208,0.8598806,5.5.2,GiG,S
202,9.9160667,3.5362722,5.5.2,GiG,S
203,9.9146833,3.4429389,5.5.2,GiG,S
204,9.9344500,3.2996083,5.5.2,GiG,S
205,10.0919792,41.6853000,5.5.2;5.1.4,E,S
206,10.1408333,40.7394444,3.6.4,As*,S
207,9.9196583,-14.2370778,5,EmG,S
208,10.0732333,2.7565306,5.5.2,GiG,S
209,9.7649000,-18.6083278,5;5.1.3,S0,S
210,10.1459208,-13.8728000,5.5.2;5.1.1,S..,S
211,9.9147083,3.4428889,;5.1.3,S0,S
212,10.0555292,-56.1530139,5;5.5.3;5.1.3,S0,S
213,10.2916792,16.4694778,5;5.1.2,SB,S
214,10.3667500,25.4993389,5.5.2;5.1.1,S..,S
215,10.2035458,-56.2140083,5.5.2;5.1.4,E,S
216,10.3620208,-21.0480278,5;5.1.3,S0,S
217,10.3912625,-10.0213778,5.5.3;5.1.3,S0,S
218,10.4359292,36.3595806,5,LSB,S
219,10.5470750,0.9044833,5.5.3,GiC,S
220,10.2331667,-73.4028056,3.6.4.1,OpC,S
221,10.6742708,40.8651694,5.1.7,IG,S
222,10.1754583,-73.3835556,3.6.4.1,OpC,S
223,10.5660750,0.8453583,5.5.3,GiC,S
224,10.6847083,41.2687500,5,G,S
225,10.9125000,61.7750000,3.6.4.1,OpC,S
226,10.7251458,32.5810000,5.5.2,GiG,S
227,10.6535000,-1.5287833,5.5.2;5.1.4,E,S
228,10.7271875,23.5030028,5.5.2;5.1.2,SB,S
229,10.7692917,23.5091250,5.5.2,GiG,S
230,10.6132958,-23.6288056,5.5.2;5.1.1,S..,S
