Name,Code,Description,Pronunciation,Genitive,Area (sq deg),RA low hours,RA low minutes,RA high hours,RA high minutes,Dec low degrees,Dec low arcminutes,Dec high degrees,Dec high arcminutes,RA mid hours,RA mid minutes,Dec mid hours,Dec mid arcminutes,Messier objects,Finest NGC,Caldwell,Brightest stars,NGC objects,Best date,V
Chamaeleon,Cha,The Chameleon,ku-mE-lE-un,Chamaeleontis,131.592,07,26.61,13,56.44,-83,07.20,-75,17.40,10,41.53,-79,12.30,,,1,,4,Mar 3,N
Circinus,Cir,The Compasses,ser-sin-us,Circini,93.353,13,38.72,15,30.36,-70,37.47,-55,26.18,14,34.54,-63,01.82,,,1,,5,May 1,N
Columba,Col,The Dove,kO-lum-bu,Columbae,270.184,05,03.90,06,39.62,-43,06.70,-27,04.63,05,51.76,-35,05.67,,,1,,17,Dec 20,P
Coma Berenices,Com,Berenice's Hair,kO-mu ber-e-nI-sEz,Comae Berenices,386.475,11,58.42,13,36.12,+13,18.24,+33,18.45,12,47.27,+23,18.34,8,6,3,,329,Apr 4,V
Corona Australis,CrA,The Southern Crown,kO-rO-nu aus-trA-lis,Coronae Australis,127.696,17,58.50,19,19.08,-45,30.98,-36,46.71,18,38.79,-41,08.85,,,2,,5,Jul 2,P
Corona Borealis,CrB,The Northern Crown,kO-rO-nu bOr-E-al-is,Coronae Borealis,178.710,15,16.06,16,25.12,+25,32.28,+39,42.70,15,50.59,+32,37.49,,,,1,43,May 20,V
Corvus,Crv,The Crow,kor-vus,Corvi,183.801,11,56.37,12,56.67,-25,11.75,-11,40.64,12,26.52,-18,26.20,,2,2,,35,Mar 30,V
Crater,Crt,The Cup,krA-ter,Crateris,282.398,10,51.10,11,56.39,-25,11.75,-06,39.73,11,23.75,-15,55.74,,,,,90,Mar 14,V
Crux,Cru,The Cross,kruks,Crucis,68.447,11,56.23,12,57.75,-64,41.75,-55,40.63,12,26.99,-60,11.19,,,3,3,8,Mar 30,N
Cygnus,Cyg,The Swan,sig-nus,Cygni,803.983,19,07.51,22,03.05,+27,43.94,+61,21.46,20,35.28,+44,32.70,2,7,6,3,67,Aug 1,V
