Date,Class,Value (W/m*2)
1989-11-20T21:25,X1,0.000100
1989-11-21T13:32,X4,0.000400
1989-11-25T22:55,X1,0.000100
1989-11-30T11:45,X2.6,0.000260
1989-12-30T04:09,X1,0.000100
1989-12-31T09:32,X2.8,0.000280
1990-03-19T04:39,X1.5,0.000150
1990-04-03T17:05,X1,0.000100
1990-04-15T02:55,X1.4,0.000140
1990-04-16T06:30,X2.2,0.000220
1990-05-10T19:18,X3.4,0.000340
1990-05-11T05:37,X2.4,0.000240
1990-05-11T20:58,X3.6,0.000360
1990-05-12T11:32,X1.2,0.000120
1990-05-15T12:46,X1.7,0.000170
1990-05-21T22:12,X5.5,0.000550
1990-05-24T20:46,X9.3,0.000930
1990-05-26T20:45,X1.4,0.000140
1990-08-27T20:37,X3,0.000300
1990-12-23T09:43,X1,0.000100
1990-12-24T15:33,X1.8,0.000180
1990-12-26T13:55,X1.9,0.000190
1991-01-25T06:30,X10,0.001000
1991-01-27T14:40,X1.9,0.000190
1991-01-30T08:49,X1,0.000100
1991-01-31T01:58,X1.3,0.000130
1991-02-25T08:09,X1.2,0.000120
1991-03-04T13:56,X7.1,0.000710
1991-03-05T02:56,X1.5,0.000150
1991-03-05T09:10,X2,0.000200
1991-03-05T17:16,X1.4,0.000140
1991-03-07T06:11,X5.5,0.000550
1991-03-07T23:14,X2.5,0.000250
1991-03-08T20:20,X1.7,0.000170
1991-03-12T12:28,X1.7,0.000170
1991-03-13T08:00,X1.3,0.000130
1991-03-13T15:28,X3.9,0.000390
1991-03-14T18:12,X1.8,0.000180
1991-03-16T00:47,X1.8,0.000180
1991-03-17T20:54,X1,0.000100
1991-03-21T20:20,X1,0.000100
1991-03-22T22:43,X9.4,0.000940
1991-03-25T00:08,X1.1,0.000110
1991-03-25T07:58,X5.3,0.000530
1991-03-26T20:26,X4.7,0.000470
1991-03-29T06:42,X2.4,0.000240
1991-03-31T19:11,X1,0.000100
1991-04-20T08:27,X1,0.000100
1991-05-18T05:06,X2.8,0.000280
1991-05-29T22:14,X1,0.000100
1991-06-01T15:09,X12,0.001200
1991-06-04T03:37,X12,0.001200
1991-06-06T00:54,X12,0.001200
1991-06-09T01:37,X10,0.001000
1991-06-11T02:09,X12,0.001200
1991-06-15T06:33,X12,0.001200
1991-07-07T01:20,X1.9,0.000190
1991-07-17T06:18,X1.1,0.000110
1991-07-18T14:16,X1,0.000100
1991-07-20T01:36,X1,0.000100
1991-07-22T09:46,X1,0.000100
1991-07-31T00:46,X2.3,0.000230
1991-08-02T03:07,X1.5,0.000150
1991-08-25T00:31,X2.1,0.000210
1991-09-07T19:11,X3.3,0.000330
1991-09-08T09:06,X1,0.000100
1991-10-24T02:37,X2.1,0.000210
1991-10-26T18:53,X1.7,0.000170
1991-10-27T02:06,X1.9,0.000190
1991-10-27T05:38,X6.1,0.000610
1991-10-30T06:11,X2.5,0.000250
1991-11-09T15:32,X1.1,0.000110
1991-11-15T22:34,X1.5,0.000150
1991-12-03T16:34,X2.2,0.000220
1991-12-20T14:00,X3.5,0.000350
1991-12-24T10:13,X1.4,0.000140
1992-01-26T15:23,X1,0.000100
1992-02-16T12:32,X1.4,0.000140
1992-02-27T09:22,X3.3,0.000330
1992-06-25T19:47,X3.9,0.000390
1992-06-28T05:27,X1.8,0.000180
1992-07-08T09:45,X1.2,0.000120
1992-09-06T18:42,X1.7,0.000170
1992-09-06T20:50,X1.3,0.000130
1992-10-30T17:02,X1.7,0.000170
1992-11-02T02:31,X9,0.000900
1996-07-09T09:01,X2.6,0.000260
1997-11-04T05:52,X2.1,0.000210
1997-11-06T11:49,X9.4,0.000940
1997-11-27T12:59,X2.6,0.000260
1998-04-23T05:35,X1.2,0.000120
1998-04-27T08:55,X1,0.000100
1998-05-02T13:31,X1.1,0.000110
1998-05-06T07:58,X2.7,0.000270
1998-08-17T21:10,X1.2,0.000120
1998-08-18T08:14,X2.8,0.000280
1998-08-18T22:10,X4.9,0.000490
1998-08-19T21:35,X3.9,0.000390
1998-08-24T21:50,X1,0.000100
1998-11-22T06:30,X3.7,0.000370
1998-11-22T16:10,X2.5,0.000250
1998-11-23T06:28,X2.2,0.000220
1998-11-24T02:07,X1,0.000100
1998-11-28T04:54,X3.3,0.000330
1999-08-02T21:18,X1.4,0.000140
1999-08-28T17:52,X1.1,0.000110
1999-10-14T08:54,X1.8,0.000180
1999-11-27T12:05,X1.4,0.000140
2000-02-05T19:17,X1.2,0.000120
2000-03-02T08:20,X1.1,0.000110
2000-03-22T18:34,X1.1,0.000110
2000-03-24T07:41,X1.8,0.000180
2000-06-06T13:30,X1.1,0.000110
2000-06-06T14:58,X2.3,0.000230
2000-06-07T15:34,X1.2,0.000120
2000-06-18T01:52,X1,0.000100
2000-07-11T12:12,X1,0.000100
2000-07-12T10:18,X1.9,0.000190
2000-07-14T10:03,X5.7,0.000570
2000-09-30T23:13,X1.2,0.000120
2000-11-24T04:55,X2,0.000200
2000-11-24T14:51,X2.3,0.000230
2000-11-24T21:43,X1.8,0.000180
2000-11-25T18:33,X1.9,0.000190
2000-11-26T16:34,X4,0.000400
2001-03-29T09:57,X1.7,0.000170
2001-04-02T10:04,X1.4,0.000140
2001-04-02T10:58,X1.1,0.000110
2001-04-02T21:32,X20,0.002000
2001-04-03T03:25,X1.2,0.000120
2001-04-06T19:10,X5.6,0.000560
2001-04-10T05:06,X2.3,0.000230
2001-04-12T09:39,X2,0.000200
2001-04-15T13:19,X14.4,0.001440
2001-06-23T04:02,X1.2,0.000120
2001-08-25T16:23,X5.3,0.000530
