P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
HD 125612 d,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,2289.17,2289.17,,11.67,1.44,16.81,14.01,      0.04139711,      0.07063565,       0.1308065,114.9,129.4,153.2,,,,3298.4,-19.69,22.32,3008.00,4.2000,0.28,4.03,,284.0,HD 125612,HD 125612,HIP 70123,Vir,G3V,1.10,1.05,5897.0,1.196170,0.240,2.100,8.3,52.82,14.3483,-17.4814,-23.9,0.1388,3,1,0.815,1.914,5.01,10.08,21.78,0.04,,0.00,0.00,0.14,1,0,0,1,Radial Velocity,      2009.00
HD 126525 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,71.22,71.22,,7.04,0.20,1.44,3.18,       0.2188499,       0.2818086,       0.3691598,174.3,185.0,198.6,,,,14.5,-20.06,13.41,948.12,1.8105,0.13,1.80,,0.0,HD 126525,,,Lup,G4V,0.88,0.91,5940.0,0.915904,,,7.8,38.10,14.4592,-51.9331,-25.4,0.2698,1,0,0.711,1.669,1.28,4.50,2.78,0.16,,0.00,0.00,0.41,0,0,0,1,Radial Velocity,      2011.00
HD 126614 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,120.82,120.82,,8.22,0.22,1.79,3.83,      0.09449063,       0.2059045,       0.5395054,141.3,165.9,218.3,,,,26.3,-20.15,15.68,1244.00,2.3500,0.41,2.14,,243.0,HD 126614,HD 126614,HIP 70623,Vir,K0,1.15,1.09,5585.0,1.037136,0.560,7.200,8.8,72.40,14.4467,-5.1778,-25.1,0.2710,1,0,0.773,1.831,1.78,5.16,3.86,0.13,,0.00,0.00,0.34,1,0,0,1,Radial Velocity,      2010.00
HD 128311 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,693.11,693.11,,11.34,0.48,5.39,7.82,       0.1539872,       0.2484461,       0.4276561,159.6,177.7,206.0,,,,329.4,-20.99,21.68,448.60,1.0990,0.25,1.06,,110.9,HD 128311,HD 128311,HIP 71395,Boo,K0V,0.84,0.73,4965.0,0.290544,0.080,0.390,7.5,16.60,14.6000,9.7464,-25.2,0.3656,2,0,0.423,1.024,1.19,7.54,9.49,0.08,,0.00,0.00,0.29,0,0,0,1,Radial Velocity,      2002.00
HD 128311 c,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,1020.59,1020.59,,11.59,0.66,7.60,9.38,      0.06852975,      0.09518216,       0.1361542,130.4,140.7,154.8,,,,668.7,-19.97,22.17,919.00,1.7600,0.17,1.73,50.0,195.5,HD 128311,HD 128311,HIP 71395,Boo,K0V,0.84,0.73,4965.0,0.290544,0.080,0.390,7.5,16.60,14.6000,9.7464,-24.2,0.2243,2,0,0.423,1.024,3.41,8.15,13.49,0.06,,0.00,0.00,0.18,0,0,0,1,Radial Velocity,      2005.00
HD 129445 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,508.70,508.70,,11.00,0.38,4.20,6.80,      0.04948894,       0.2002349,        1.588486,120.2,151.1,286.0,,,,194.3,-21.02,21.03,1840.00,2.9000,0.70,2.07,,163.0,HD 129445,HD 129445,HIP 72203,Cir,G8V,0.99,1.04,5940.0,1.202325,0.250,,8.8,67.61,14.7675,-68.7625,-25.3,0.2679,1,0,0.815,1.912,1.98,7.11,7.92,0.08,,0.00,0.00,0.28,1,0,0,1,Radial Velocity,      2010.00
HD 130322 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,324.30,324.30,,10.30,0.30,3.05,5.61,        59.10267,        64.47783,        70.48129,706.4,721.7,738.2,,,,96.1,-26.81,19.68,10.72,0.0880,0.04,0.09,76.0,203.6,HD 130322,HD 130322,HIP 72339,Vir,K0 V,0.79,0.83,5330.0,0.498833,-0.020,0.350,8.1,30.00,14.7925,0.2814,-31.3,5.0329,1,0,0.544,1.299,-2.21,6.49,2.31,0.12,,0.00,0.00,0.14,1,0,0,1,Radial Velocity,      1999.00
HD 131496 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,699.47,699.47,,11.35,0.48,5.43,7.85,        1.893848,        2.595917,        3.655883,298.9,321.8,352.3,,,,334.7,-23.53,21.70,883.00,2.0900,0.16,2.06,,22.0,HD 131496,HD 131496,HIP 72845,Boo,K0,1.61,4.60,4927.0,11.187571,0.250,2.700,8.0,110.00,14.8897,18.2353,-27.8,1.1888,1,0,2.629,6.375,-1.30,7.56,6.70,0.09,,0.00,0.00,0.35,0,0,0,1,Radial Velocity,      2011.00
HD 132406 b,,,Warm,Jovian,gas,hydrogen-rich,non-habitable,1783.64,1783.64,,11.68,1.12,13.07,12.36,       0.2600684,       0.4964360,        1.071762,181.9,209.0,259.2,,,,1994.5,-21.84,22.35,974.00,1.9800,0.34,1.86,,214.0,HD 132406,HD 132406,HIP 73146,Boo,G0V,1.09,1.31,5885.0,1.830276,0.180,6.400,8.4,71.00,14.9486,53.3822,-26.0,0.3745,1,1,1.009,2.370,0.34,9.33,14.48,0.05,,0.00,0.00,0.36,0,0,1,1,Radial Velocity,      2007.00
HD 132563 B b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,473.73,473.73,,10.91,0.36,3.98,6.59,       0.1018690,       0.1554019,       0.2491688,143.9,158.5,180.0,,,,172.9,-20.38,20.84,1544.00,2.6200,0.22,2.56,,158.0,HD 132563 B,,,Boo,G,1.01,0.95,5985.0,1.040604,-0.190,5.000,9.5,96.00,14.9725,44.0433,-24.7,0.1989,1,0,0.756,1.772,2.61,7.01,8.31,0.08,,0.00,0.00,0.25,0,0,0,1,Radial Velocity,      2011.00
