P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
Kepler-197 b,Kepler-197 b,623.03,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,1.06,,1.06,0.89,0.94,1.00,        390.4760,        406.3245,        422.9938,1132.5,1143.7,1155.4,1166.3,1177.5,1189.1,0.9,-23.86,2.02,5.60,0.0600,0.02,0.06,,0.0,Kepler-197,,,Cyg,F,0.92,1.12,6004.0,1.462476,-0.533,,,,19.6818,50.5590,-33.3,9.9623,4,0,0.895,2.097,-2.39,-0.17,-1.16,0.27,0.00,0.00,0.00,0.30,0,0,0,1,Primary Transit,      2014.00
Kepler-197 c,Kepler-197 c,623.01,Hot,Terran,iron,metals-rich,non-habitable,,5.40,,1.21,3.07,3.71,2.12,        154.8063,        181.1331,        213.3182,898.7,933.5,973.6,944.7,979.5,1019.7,16.6,-23.26,2.29,10.35,0.0900,0.08,0.09,,0.0,Kepler-197,,,Cyg,F,0.91,1.12,6004.0,1.462476,-0.533,,,,19.6818,50.5590,-32.4,6.6569,4,0,0.895,2.097,-2.34,-1.12,-0.39,0.28,0.00,0.00,0.00,0.30,0,0,0,1,Primary Transit,      2014.00
Kepler-197 d,Kepler-197 d,623.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,1.81,,1.24,0.94,1.17,1.21,        97.34934,        103.3214,        109.7618,800.3,812.1,824.6,836.5,848.4,860.9,1.7,-22.71,2.36,15.68,0.1190,0.03,0.12,,0.0,Kepler-197,,,Cyg,F,0.92,1.12,6004.0,1.462476,-0.533,,,,19.6818,50.5590,-31.8,5.0195,4,0,0.895,2.097,-2.29,-0.16,-0.91,0.29,0.00,0.00,0.00,0.30,0,0,0,1,Primary Transit,      2014.00
Kepler-197 e,Kepler-197 e,623.04,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,0.82,,0.98,0.86,0.85,0.91,        28.56033,        58.78508,        141.4547,589.0,685.4,878.6,621.5,717.9,911.1,0.7,-21.66,1.87,25.21,0.1640,0.38,0.15,,0.0,Kepler-197,,,Cyg,F,0.93,1.12,6004.0,1.462476,-0.533,,,,19.6818,50.5590,-31.3,3.9353,4,0,0.895,2.097,-2.23,-0.17,-1.07,0.29,0.00,0.00,0.00,0.32,0,0,0,1,Primary Transit,      2014.00
Kepler-198 b,Kepler-198 b,624.01,Hot,Neptunian,gas,metals-rich,non-habitable,,4.34,,2.82,0.19,0.55,1.24,        44.59342,        44.59343,        44.59344,658.4,658.4,658.4,,,,0.8,-23.58,5.37,17.79,0.1310,0.00,0.13,,0.0,Kepler-198,,,Lyr,G,0.93,0.94,5574.0,0.765268,-0.140,,,,19.3782,38.6910,-30.9,3.8247,2,0,0.664,1.575,-2.17,2.48,-0.79,0.23,,0.00,0.00,0.24,0,0,0,1,Primary Transit,      2014.00
Kepler-198 c,Kepler-198 c,624.02,Hot,Superterran,rocky-iron,hydrogen-rich,non-habitable,,25.16,,2.46,1.68,4.14,3.20,        11.40811,        11.40811,        11.40812,468.2,468.2,468.2,518.2,518.2,518.2,42.3,-21.80,4.68,49.57,0.2590,0.00,0.26,,0.0,Kepler-198,,,Lyr,G,0.93,0.94,5574.0,0.765268,-0.140,,,,19.3782,38.6910,-29.4,1.9342,2,0,0.664,1.575,-1.89,-0.11,1.13,0.31,0.00,0.00,0.00,0.34,0,0,0,1,Primary Transit,      2014.00
Kepler-199 b,Kepler-199 b,638.01,Hot,Neptunian,gas,metals-rich,non-habitable,,5.85,,3.10,0.20,0.61,1.37,        34.31366,        34.31367,        34.31368,616.6,616.6,616.6,,,,1.1,-23.50,5.90,23.64,0.1580,0.00,0.16,,0.0,Kepler-199,,,Cyg,G,0.94,0.97,5644.0,0.856607,-0.157,,,,19.7040,40.2363,-30.6,3.2721,2,0,0.700,1.656,-2.13,2.57,-0.66,0.23,,0.00,0.00,0.24,0,0,0,1,Primary Transit,      2014.00
Kepler-199 c,Kepler-199 c,638.02,Hot,Neptunian,gas,metals-rich,non-habitable,,6.75,,3.25,0.20,0.64,1.44,        8.578416,        8.578419,        8.578420,436.0,436.0,436.0,,,,1.3,-22.09,6.18,67.09,0.3160,0.00,0.32,,0.0,Kepler-199,,,Cyg,G,0.94,0.97,5644.0,0.856607,-0.157,,,,19.7040,40.2363,-29.1,1.6359,2,0,0.700,1.656,-1.80,2.63,-0.39,0.24,,0.00,0.00,0.33,0,0,0,1,Primary Transit,      2014.00
Kepler-200 b,Kepler-200 b,654.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,13.26,,2.13,1.38,2.93,2.50,        128.7500,        128.7500,        128.7500,858.2,858.2,858.2,904.6,904.6,904.6,18.2,-24.12,4.04,8.59,0.0800,0.00,0.08,,0.0,Kepler-200,,,Lyr,G,0.93,0.94,5678.0,0.824000,-0.118,,,,18.9607,41.2375,-32.0,6.2649,2,0,0.685,1.619,-2.30,-0.13,-0.08,0.30,0.00,0.00,0.00,0.26,0,0,0,1,Primary Transit,      2014.00
Kepler-200 c,Kepler-200 c,654.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,4.31,,1.59,1.07,1.70,1.65,        101.7284,        101.7284,        101.7284,809.1,809.1,809.1,849.7,849.7,849.7,4.6,-23.23,3.02,10.22,0.0900,0.00,0.09,,0.0,Kepler-200,,,Lyr,G,0.93,0.94,5678.0,0.824000,-0.118,,,,18.9607,41.2375,-31.8,5.5682,2,0,0.685,1.619,-2.28,-0.15,-0.61,0.30,0.00,0.00,0.00,0.29,0,0,0,1,Primary Transit,      2014.00
Kepler-201 b,Kepler-201 b,655.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,24.64,,2.45,1.67,4.09,3.17,        59.97181,        59.97182,        59.97182,709.0,709.0,709.0,758.9,758.9,758.9,41.1,-23.60,4.66,25.67,0.1750,0.00,0.17,,0.0,Kepler-201,,,Cyg,F,1.17,1.23,6065.0,1.836637,-0.279,,,,19.5751,41.2728,-31.2,3.7463,2,0,0.999,2.338,-2.23,-0.11,0.57,0.30,0.00,0.00,0.00,0.25,0,0,0,1,Primary Transit,      2014.00
Kepler-201 c,Kepler-201 c,655.02,Hot,Neptunian,gas,metals-rich,non-habitable,,4.45,,2.84,0.19,0.55,1.25,        5.593892,        5.593892,        5.593893,391.8,391.8,391.8,,,,0.9,-21.33,5.41,151.88,0.5730,0.00,0.57,,0.0,Kepler-201,,,Cyg,F,1.17,1.23,6065.0,1.836637,-0.279,,,,19.5751,41.2728,-28.6,1.1440,2,0,0.999,2.338,-1.64,2.49,-0.51,0.25,,0.00,0.00,0.40,0,0,0,1,Primary Transit,      2014.00
Kepler-202 b,Kepler-202 b,657.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,4.65,,1.62,1.09,1.76,1.69,        94.43606,        94.43606,        94.43608,794.2,794.2,794.2,835.1,835.1,835.1,5.1,-23.19,3.09,4.07,0.0450,0.00,0.04,,0.0,Kepler-202,,,Lyr,K,0.73,0.67,4668.0,0.191233,0.012,,,,18.8649,41.3220,-31.7,7.9409,2,0,0.348,0.852,-2.20,-0.15,-0.57,0.31,0.00,0.00,0.00,0.29,0,0,0,1,Primary Transit,      2014.00
Kepler-202 c,Kepler-202 c,657.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,7.56,,1.85,1.20,2.21,2.02,        14.97635,        14.97635,        14.97635,501.2,501.2,501.2,544.6,544.6,544.6,9.0,-21.47,3.51,16.28,0.1130,0.00,0.11,,0.0,Kepler-202,,,Lyr,K,0.73,0.67,4668.0,0.191233,0.012,,,,18.8649,41.3220,-29.7,3.1602,2,0,0.348,0.852,-1.93,-0.14,0.02,0.34,0.00,0.00,0.00,0.35,0,0,0,1,Primary Transit,      2014.00
Kepler-203 b,Kepler-203 b,658.01,Hot,Neptunian,gas,no-atmosphere,non-habitable,,3.19,,2.56,0.19,0.49,1.12,        686.4189,        686.4189,        686.4190,1304.0,1304.0,1304.0,,,,0.6,-26.35,4.88,3.16,0.0430,0.00,0.04,,0.0,Kepler-203,,,Cyg,G,0.98,1.11,5821.0,1.269189,-0.107,,,,19.8060,41.3880,-33.9,13.7899,3,0,0.843,1.984,-2.40,2.41,-1.13,0.22,,0.00,0.00,0.23,0,0,0,1,Primary Transit,      2014.00
Kepler-203 c,Kepler-203 c,658.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,25.16,,2.46,1.68,4.14,3.20,        341.0880,        341.0880,        341.0880,1094.9,1094.9,1094.9,1144.9,1144.9,1144.9,42.3,-25.50,4.68,5.37,0.0610,0.00,0.06,,0.0,Kepler-203,,,Cyg,G,0.98,1.11,5821.0,1.269189,-0.107,,,,19.8060,41.3880,-33.1,9.7089,3,0,0.843,1.984,-2.37,-0.11,0.14,0.30,0.00,0.00,0.00,0.24,0,0,0,1,Primary Transit,      2014.00
Kepler-203 d,Kepler-203 d,658.03,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.97,,1.43,1.01,1.44,1.44,        126.9188,        126.9188,        126.9189,855.1,855.1,855.1,893.8,893.8,893.8,3.0,-23.24,2.72,11.33,0.1000,0.00,0.10,,0.0,Kepler-203,,,Cyg,G,0.98,1.11,5821.0,1.269189,-0.107,,,,19.8060,41.3880,-32.0,5.9180,3,0,0.843,1.984,-2.30,-0.16,-0.78,0.29,0.00,0.00,0.00,0.29,0,0,0,1,Primary Transit,      2014.00
Kepler-204 b,Kepler-204 b,661.01,Hot,Superterran,gas,metals-rich,non-habitable,,3.06,,2.53,0.19,0.48,1.10,        114.9910,        114.9910,        114.9910,834.3,834.3,834.3,,,,0.6,-24.38,4.81,14.40,0.1170,0.00,0.12,,0.0,Kepler-204,,,Lyr,G,0.96,1.24,5812.0,1.574112,-0.213,,,,19.0231,41.7619,-31.9,5.6503,2,0,0.940,2.212,-2.29,2.40,-0.99,0.22,,0.00,0.00,0.24,0,0,0,1,Primary Transit,      2014.00
Kepler-204 c,Kepler-204 c,661.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,6.72,,1.79,1.17,2.09,1.94,        52.59488,        52.59488,        52.59489,686.1,686.1,686.1,728.9,728.9,728.9,7.8,-22.77,3.41,25.66,0.1730,0.00,0.17,,0.0,Kepler-204,,,Lyr,G,0.96,1.24,5812.0,1.574112,-0.213,,,,19.0231,41.7619,-31.1,3.8205,2,0,0.940,2.212,-2.21,-0.14,-0.30,0.31,0.00,0.00,0.00,0.29,0,0,0,1,Primary Transit,      2014.00
Kepler-205 b,Kepler-205 b,663.01,Hot,Terran,rocky-iron,metals-rich,non-habitable,,3.59,,1.51,1.04,1.57,1.54,        92.39582,        92.39582,        92.39584,789.9,789.9,789.9,829.5,829.5,829.5,3.7,-23.01,2.87,2.76,0.0320,0.00,0.03,,0.0,Kepler-205,,,Lyr,K,0.58,0.55,4321.0,0.094613,-0.149,,,,19.0191,41.8612,-31.7,9.1693,2,0,0.247,0.616,-2.17,-0.15,-0.67,0.31,0.00,0.00,0.00,0.29,0,0,0,1,Primary Transit,      2014.00
Kepler-205 c,Kepler-205 c,663.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,4.77,,1.64,1.09,1.78,1.71,        6.356713,        6.356714,        6.356715,404.5,404.5,404.5,445.6,445.6,445.6,5.2,-20.26,3.11,20.31,0.1220,0.00,0.12,,0.0,Kepler-205,,,Lyr,K,0.59,0.55,4321.0,0.094613,-0.149,,,,19.0191,41.8612,-28.7,2.4027,2,0,0.247,0.616,-1.68,-0.15,-0.09,0.37,0.00,0.00,0.00,0.46,0,0,0,1,Primary Transit,      2014.00
Kepler-206 b,Kepler-206 b,664.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,1.59,,1.20,0.93,1.11,1.15,        230.5103,        230.5103,        230.5104,992.7,992.7,992.7,1028.4,1028.4,1028.4,1.5,-23.50,2.28,7.78,0.0780,0.00,0.08,,0.0,Kepler-206,,,Lyr,G,0.94,1.19,5764.0,1.402425,-0.149,,,,19.4423,41.8339,-32.7,8.1372,3,0,0.889,2.096,-2.34,-0.17,-1.02,0.28,0.00,0.00,0.00,0.30,0,0,0,1,Primary Transit,      2014.00
Kepler-206 c,Kepler-206 c,664.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,6.40,,1.77,1.16,2.05,1.90,        113.8239,        113.8240,        113.8240,832.2,832.2,832.2,874.7,874.7,874.7,7.4,-23.58,3.36,13.14,0.1110,0.00,0.11,,0.0,Kepler-206,,,Lyr,G,0.94,1.19,5764.0,1.402425,-0.149,,,,19.4423,41.8339,-31.9,5.7156,3,0,0.889,2.096,-2.29,-0.14,-0.45,0.30,0.00,0.00,0.00,0.28,0,0,0,1,Primary Transit,      2014.00
Kepler-206 d,Kepler-206 d,664.03,Hot,Terran,rocky-iron,metals-rich,non-habitable,,1.54,,1.19,0.92,1.10,1.14,        52.78425,        52.78426,        52.78427,686.7,686.7,686.7,722.2,722.2,722.2,1.4,-21.87,2.26,23.44,0.1630,0.00,0.16,,0.0,Kepler-206,,,Lyr,G,0.94,1.19,5764.0,1.402425,-0.149,,,,19.4423,41.8339,-31.1,3.8914,3,0,0.889,2.096,-2.20,-0.17,-0.89,0.30,0.00,0.00,0.00,0.32,0,0,0,1,Primary Transit,      2014.00
Kepler-207 b,Kepler-207 b,665.02,Hot,Superterran,rocky-iron,no-atmosphere,non-habitable,,4.09,,1.57,1.06,1.66,1.62,        3312.644,        3312.645,        3312.646,1932.8,1932.8,1932.8,1973.1,1973.1,1973.1,4.3,-27.00,2.98,1.61,0.0290,0.00,0.03,,0.0,Kepler-207,,,Lyr,G,1.25,1.59,5920.0,2.785934,-0.023,,,,19.3354,42.1660,-35.6,29.5447,3,0,1.242,2.915,-2.45,-0.15,-1.02,0.27,0.00,0.00,0.00,0.28,0,0,0,1,Primary Transit,      2014.00
Kepler-207 c,Kepler-207 c,665.03,Hot,Terran,rocky-iron,metals-rich,non-habitable,,3.49,,1.50,1.03,1.55,1.53,        1439.015,        1439.016,        1439.016,1569.1,1569.1,1569.1,1608.6,1608.6,1608.6,3.6,-25.99,2.85,3.07,0.0440,0.00,0.04,,0.0,Kepler-207,,,Lyr,G,1.21,1.59,5920.0,2.785934,-0.023,,,,19.3354,42.1660,-34.7,19.3495,3,0,1.242,2.915,-2.43,-0.15,-0.98,0.28,0.00,0.00,0.00,0.28,0,0,0,1,Primary Transit,      2014.00
Kepler-207 d,Kepler-207 d,665.01,Hot,Neptunian,gas,metals-rich,non-habitable,,7.12,,3.30,0.20,0.65,1.47,        602.4944,        602.4944,        602.4945,1262.2,1262.2,1262.2,,,,1.4,-26.76,6.28,5.87,0.0680,0.00,0.07,,0.0,Kepler-207,,,Lyr,G,1.22,1.59,5920.0,2.785934,-0.023,,,,19.3354,42.1660,-33.7,12.4855,3,0,1.242,2.915,-2.40,2.65,-0.93,0.21,,0.00,0.00,0.20,0,0,0,1,Primary Transit,      2014.00
Kepler-208 b,Kepler-208 b,671.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,4.65,,1.62,1.09,1.76,1.69,        727.2513,        727.2513,        727.2513,1323.0,1323.0,1323.0,1364.0,1364.0,1364.0,5.1,-25.42,3.09,4.23,0.0540,0.00,0.05,,0.0,Kepler-208,,,Cyg,F,1.03,1.31,6092.0,2.120665,,,,,19.5927,42.5280,-33.9,12.9557,4,0,1.072,2.507,-2.42,-0.15,-0.83,0.28,0.00,0.00,0.00,0.28,0,0,0,1,Primary Transit,      2014.00
Kepler-208 c,Kepler-208 c,671.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.65,,1.39,0.99,1.38,1.38,        339.7956,        339.7957,        339.7957,1093.8,1093.8,1093.8,1132.0,1132.0,1132.0,2.6,-24.25,2.64,7.47,0.0790,0.00,0.08,,0.0,Kepler-208,,,Cyg,F,1.03,1.31,6092.0,2.120665,,,,,19.5927,42.5280,-33.1,8.8457,4,0,1.072,2.507,-2.38,-0.16,-0.92,0.28,0.00,0.00,0.00,0.29,0,0,0,1,Primary Transit,      2014.00
Kepler-208 d,Kepler-208 d,671.04,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,1.59,,1.20,0.93,1.11,1.15,        199.8930,        199.8930,        199.8930,958.0,958.0,958.0,993.6,993.6,993.6,1.5,-23.35,2.28,11.13,0.1030,0.00,0.10,,0.0,Kepler-208,,,Cyg,F,1.03,1.31,6092.0,2.120665,,,,,19.5927,42.5280,-32.5,6.7818,4,0,1.072,2.507,-2.35,-0.17,-1.01,0.28,0.00,0.00,0.00,0.30,0,0,0,1,Primary Transit,      2014.00
Kepler-208 e,Kepler-208 e,671.03,Hot,Terran,rocky-iron,metals-rich,non-habitable,,3.31,,1.48,1.02,1.52,1.50,        121.7094,        121.7094,        121.7094,846.2,846.2,846.2,885.4,885.4,885.4,3.4,-23.26,2.81,16.26,0.1320,0.00,0.13,,0.0,Kepler-208,,,Cyg,F,1.03,1.31,6092.0,2.120665,,,,,19.5927,42.5280,-32.0,5.2907,4,0,1.072,2.507,-2.31,-0.16,-0.73,0.29,0.00,0.00,0.00,0.29,0,0,0,1,Primary Transit,      2014.00
Kepler-209 b,Kepler-209 b,672.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,17.18,,2.26,1.48,3.36,2.76,        49.20144,        49.20144,        49.20145,674.7,674.7,674.7,722.6,722.6,722.6,25.5,-23.21,4.30,16.09,0.1220,0.00,0.12,,0.0,Kepler-209,,,Lyr,G,0.94,0.94,5513.0,0.732314,0.008,,,,19.4113,42.6408,-31.0,4.1070,2,0,0.652,1.549,-2.18,-0.12,0.32,0.31,0.00,0.00,0.00,0.27,0,0,0,1,Primary Transit,      2014.00
Kepler-209 c,Kepler-209 c,672.02,Hot,Neptunian,gas,metals-rich,non-habitable,,5.85,,3.10,0.20,0.61,1.37,        13.72377,        13.72377,        13.72378,490.4,490.4,490.4,,,,1.1,-22.50,5.90,41.75,0.2310,0.00,0.23,,0.0,Kepler-209,,,Lyr,G,0.94,0.94,5513.0,0.732314,0.008,,,,19.4113,42.6408,-29.6,2.1687,2,0,0.652,1.549,-1.94,2.57,-0.53,0.23,,0.00,0.00,0.29,0,0,0,1,Primary Transit,      2014.00
Kepler-210 b,Kepler-210 b,676.02,Hot,Neptunian,gas,metals-rich,non-habitable,,11.17,,3.83,0.20,0.76,1.71,        348.8850,        805.3782,        2306.203,1101.1,1304.4,1765.5,,,,2.2,-27.52,7.28,2.45,0.0142,0.44,0.01,77.9,0.0,Kepler-210,,,Cyg,K,0.63,0.69,4300.0,0.146037,,,14.4,,19.5003,43.0831,-34.1,29.1290,2,0,0.308,0.767,-2.28,2.87,-0.85,0.21,,0.00,0.00,0.18,0,0,0,1,Primary Transit,      2014.00
Kepler-210 c,Kepler-210 c,676.01,Hot,Neptunian,gas,metals-rich,non-habitable,,23.14,,4.88,0.20,0.97,2.18,        47.42656,        123.1766,        426.6958,668.6,805.1,1157.9,,,,4.6,-26.04,9.29,7.97,0.0370,0.50,0.03,85.7,0.0,Kepler-210,,,Cyg,K,0.63,0.69,4300.0,0.146037,,,14.4,,19.5003,43.0831,-32.1,11.4949,2,0,0.308,0.767,-2.19,3.36,-0.31,0.20,,0.00,0.00,0.16,0,0,0,1,Primary Transit,      2014.00
Kepler-211 b,Kepler-211 b,678.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,1.86,,1.25,0.94,1.18,1.22,        180.3568,        180.3568,        180.3568,933.6,933.6,933.6,970.1,970.1,970.1,1.8,-23.34,2.38,4.14,0.0480,0.00,0.05,,0.0,Kepler-211,,,Lyr,K,0.97,0.82,5123.0,0.415542,0.106,,,,19.0293,43.1685,-32.4,9.1136,2,0,0.502,1.208,-2.29,-0.16,-0.96,0.29,0.00,0.00,0.00,0.30,0,0,0,1,Primary Transit,      2014.00
Kepler-211 c,Kepler-211 c,678.01,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.04,,1.29,0.96,1.23,1.26,        108.1015,        108.1015,        108.1015,821.5,821.5,821.5,858.3,858.3,858.3,1.9,-22.83,2.45,6.04,0.0620,0.00,0.06,,0.0,Kepler-211,,,Lyr,K,0.97,0.82,5123.0,0.415542,0.106,,,,19.0293,43.1685,-31.8,7.0527,2,0,0.502,1.208,-2.25,-0.16,-0.88,0.29,0.00,0.00,0.00,0.30,0,0,0,1,Primary Transit,      2014.00
Kepler-212 b,Kepler-212 b,679.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,1.14,,1.09,0.89,0.97,1.03,        126.7972,        126.7972,        126.7972,854.9,854.9,854.9,889.0,889.0,889.0,1.0,-22.64,2.06,16.26,0.1330,0.00,0.13,,0.0,Kepler-212,,,Lyr,G,1.16,1.46,5852.0,2.242915,,,,,19.1747,43.1417,-32.0,5.8526,2,0,1.119,2.631,-2.30,-0.17,-1.05,0.28,0.00,0.00,0.00,0.30,0,0,0,1,Primary Transit,      2014.00
Kepler-212 c,Kepler-212 c,679.01,Hot,Neptunian,gas,metals-rich,non-habitable,,3.92,,2.73,0.19,0.52,1.20,        52.34463,        52.34464,        52.34465,685.3,685.3,685.3,,,,0.8,-23.68,5.20,31.81,0.2070,0.00,0.21,,0.0,Kepler-212,,,Lyr,G,1.16,1.46,5852.0,2.242915,,,,,19.1747,43.1417,-31.0,3.7594,2,0,1.119,2.631,-2.21,2.46,-0.84,0.23,,0.00,0.00,0.24,0,0,0,1,Primary Transit,      2014.00
Kepler-213 b,Kepler-213 b,692.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,4.65,,1.62,1.09,1.76,1.69,        1049.367,        1049.367,        1049.367,1450.0,1450.0,1450.0,1491.0,1491.0,1491.0,5.1,-25.82,3.09,2.46,0.0360,0.00,0.04,,0.0,Kepler-213,,,Cyg,G,0.94,1.20,5696.0,1.359979,-0.051,,,,19.3883,44.6472,-34.3,17.8358,2,0,0.879,2.077,-2.41,-0.15,-0.87,0.28,0.00,0.00,0.00,0.27,0,0,0,1,Primary Transit,      2014.00
Kepler-213 c,Kepler-213 c,692.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,19.94,,2.34,1.55,3.64,2.92,        418.5839,        418.5839,        418.5840,1152.4,1152.4,1152.4,1201.1,1201.1,1201.1,31.0,-25.62,4.45,4.82,0.0570,0.00,0.06,,0.0,Kepler-213,,,Cyg,G,0.94,1.20,5696.0,1.359979,-0.051,,,,19.3883,44.6472,-33.3,11.2373,2,0,0.879,2.077,-2.37,-0.12,-0.07,0.30,0.00,0.00,0.00,0.24,0,0,0,1,Primary Transit,      2014.00
Kepler-214 b,Kepler-214 b,693.02,Hot,Neptunian,gas,metals-rich,non-habitable,,3.38,,2.61,0.19,0.50,1.14,        140.1295,        140.1295,        140.1296,876.6,876.6,876.6,,,,0.6,-24.66,4.96,15.66,0.1300,0.00,0.13,,0.0,Kepler-214,,,Lyr,F,1.20,1.35,6169.0,2.368189,-0.359,,,,18.9837,44.9560,-32.1,5.5363,2,0,1.128,2.633,-2.33,2.42,-0.99,0.22,,0.00,0.00,0.23,0,0,0,1,Primary Transit,      2014.00
Kepler-214 c,Kepler-214 c,693.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,13.26,,2.13,1.38,2.93,2.50,        62.92352,        62.92352,        62.92352,717.5,717.5,717.5,764.0,764.0,764.0,18.2,-23.34,4.04,28.78,0.1940,0.00,0.19,,0.0,Kepler-214,,,Lyr,F,1.18,1.35,6169.0,2.368189,-0.359,,,,18.9837,44.9560,-31.2,3.7091,2,0,1.128,2.633,-2.24,-0.13,0.07,0.31,0.00,0.00,0.00,0.27,0,0,0,1,Primary Transit,      2014.00
Kepler-215 b,Kepler-215 b,700.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,4.65,,1.62,1.09,1.76,1.69,        146.3358,        146.3358,        146.3358,886.1,886.1,886.1,927.0,927.0,927.0,5.1,-23.67,3.09,9.36,0.0840,0.00,0.08,,0.0,Kepler-215,,,Cyg,G,0.77,1.03,5739.0,1.032545,-0.618,,,,19.6649,45.2137,-32.2,6.5381,4,0,0.764,1.803,-2.31,-0.15,-0.63,0.29,0.00,0.00,0.00,0.28,0,0,0,1,Primary Transit,      2014.00
Kepler-215 c,Kepler-215 c,700.03,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,6.40,,1.77,1.16,2.05,1.90,        80.86345,        80.86345,        80.86346,764.0,764.0,764.0,806.5,806.5,806.5,7.4,-23.21,3.36,14.67,0.1130,0.00,0.11,,0.0,Kepler-215,,,Cyg,G,0.77,1.03,5739.0,1.032545,-0.618,,,,19.6649,45.2137,-31.5,4.8590,4,0,0.764,1.803,-2.25,-0.14,-0.40,0.30,0.00,0.00,0.00,0.28,0,0,0,1,Primary Transit,      2014.00
Kepler-215 d,Kepler-215 d,700.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,21.70,,2.39,1.60,3.81,3.02,        30.16933,        30.16933,        30.16934,597.1,597.1,597.1,646.3,646.3,646.3,34.7,-22.79,4.53,30.86,0.1850,0.00,0.18,,0.0,Kepler-215,,,Cyg,G,0.77,1.03,5739.0,1.032545,-0.618,,,,19.6649,45.2137,-30.4,2.9674,4,0,0.764,1.803,-2.12,-0.12,0.66,0.31,0.00,0.00,0.00,0.28,0,0,0,1,Primary Transit,      2014.00
Kepler-215 e,Kepler-215 e,700.04,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,6.10,,1.75,1.14,2.00,1.87,        10.47249,        10.47249,        10.47249,458.3,458.3,458.3,500.6,500.6,500.6,7.0,-20.95,3.32,68.16,0.3140,0.00,0.31,,0.0,Kepler-215,,,Cyg,G,0.77,1.03,5739.0,1.032545,-0.618,,,,19.6649,45.2137,-29.3,1.7482,4,0,0.764,1.803,-1.87,-0.14,-0.04,0.35,0.00,0.00,0.00,0.39,0,0,0,1,Primary Transit,      2014.00
Kepler-216 b,Kepler-216 b,708.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,20.36,,2.35,1.57,3.68,2.94,        314.1456,        314.1457,        314.1457,1072.6,1072.6,1072.6,1121.4,1121.4,1121.4,31.9,-25.31,4.47,7.69,0.0790,0.00,0.08,,0.0,Kepler-216,,,Cyg,F,1.11,1.26,6091.0,1.960583,-0.183,,,,19.5819,46.1292,-33.0,8.5075,2,0,1.031,2.411,-2.38,-0.12,0.01,0.30,0.00,0.00,0.00,0.24,0,0,0,1,Primary Transit,      2014.00
