P_NAME,P_RADIUS,P_RADIUS_EST,P_DETECTION,P_YEAR,P_SEMI_MAJOR_AXIS,P_PERIOD,P_MASS,P_DENSITY,P_HABZONE_CON
Kepler-1413 b,1.8160200,1.8160200,Transit,2016,,13.182964,,,0
Kepler-1414 b,1.2331000,1.2331000,Transit,2016,,3.5157632,,,0
Kepler-1415 b,1.2891500,1.2891500,Transit,2016,,0.63642408,,,0
Kepler-1416 b,0.88559000,0.88559000,Transit,2016,,1.4951495,,,0
Kepler-1417 b,0.99769000,0.99769000,Transit,2016,,20.350521,,,0
Kepler-1418 b,1.6590800,1.6590800,Transit,2016,,22.476443,,,0
Kepler-1419 b,2.8585500,2.8585500,Transit,2016,,42.521589,,,0
Kepler-142 b,1.9953800,1.9953800,Transit,2014,0.032000000,2.0241520,,,0
Kepler-142 c,2.8585500,2.8585500,Transit,2014,0.057000000,4.7617020,,,0
Kepler-142 d,2.1635300,2.1635300,Transit,2014,0.24200000,41.809118,,,0
Kepler-1420 b,1.2779400,1.2779400,Transit,2016,,6.6996001,,,0
Kepler-1421 b,0.93043000,0.93043000,Transit,2016,,6.9131112,,,0
Kepler-1422 b,2.0178000,2.0178000,Transit,2016,,18.605194,,,0
Kepler-1423 b,1.0649500,1.0649500,Transit,2016,,23.955378,,,0
Kepler-1424 b,1.1546300,1.1546300,Transit,2016,,29.609174,,,0
Kepler-1425 b,0.94164000,0.94164000,Transit,2016,,14.454130,,,0
Kepler-1426 b,1.5581900,1.5581900,Transit,2016,,14.256323,,,0
Kepler-1427 b,1.0985800,1.0985800,Transit,2016,,0.96897238,,,0
Kepler-1428 b,1.6366600,1.6366600,Transit,2016,,10.676072,,,0
Kepler-1429 b,1.2891500,1.2891500,Transit,2016,,4.4848749,,,0
Kepler-143 b,2.4101500,2.4101500,Transit,2014,0.12700000,16.007583,,,0
Kepler-143 c,3.3742100,3.3742100,Transit,2014,0.18100000,27.082511,,,0
Kepler-1430 b,1.1770500,1.1770500,Transit,2016,,2.4605099,,,0
Kepler-1431 b,1.4685100,1.4685100,Transit,2016,,5.8660153,,,0
Kepler-1432 b,2.2195800,2.2195800,Transit,2016,,23.910901,,,0
Kepler-1433 b,1.5581900,1.5581900,Transit,2016,,4.1359227,,,0
Kepler-1434 b,1.1097900,1.1097900,Transit,2016,,8.0533362,,,0
Kepler-1435 b,0.86317000,0.86317000,Transit,2016,,4.4534328,,,0
Kepler-1436 b,1.3115700,1.3115700,Transit,2016,,9.7057160,,,0
Kepler-1437 b,1.3676200,1.3676200,Transit,2016,,10.929546,,,0
Kepler-1438 b,0.94164000,0.94164000,Transit,2016,,2.3194201,,,0
Kepler-1439 b,1.4573000,1.4573000,Transit,2016,,8.0739285,,,0
Kepler-144 b,1.3339900,1.3339900,Transit,2014,0.066000000,5.8852730,,,0
Kepler-144 c,1.3452000,1.3452000,Transit,2014,0.094000000,10.104665,,,0
Kepler-1440 b,1.2555200,1.2555200,Transit,2016,,39.859484,,,0
Kepler-1441 b,1.3115700,1.3115700,Transit,2016,,39.441984,,,0
Kepler-1442 b,3.9347100,3.9347100,Transit,2016,,81.416294,,,0
Kepler-1443 b,0.97527000,0.97527000,Transit,2016,,2.4181132,,,0
Kepler-1444 b,2.1747400,2.1747400,Transit,2016,,33.420350,,,0
Kepler-1445 b,0.96406000,0.96406000,Transit,2016,,10.600523,,,0
Kepler-1446 b,0.81833000,0.81833000,Transit,2016,,0.68996783,,,0
Kepler-1447 b,2.9033900,2.9033900,Transit,2016,,56.674729,,,0
Kepler-1448 b,1.6142400,1.6142400,Transit,2016,,12.270659,,,0
Kepler-1449 b,1.6815000,1.6815000,Transit,2016,,13.227453,,,0
Kepler-145 b,2.6455600,2.6455600,Transit,2013,,22.951000,37.185876,2.0082842,0
Kepler-145 c,4.3158500,4.3158500,Transit,2013,,42.882000,79.457001,0.98840091,0
Kepler-1450 b,1.7151300,1.7151300,Transit,2016,,54.509417,,,0
Kepler-1451 b,3.3517900,3.3517900,Transit,2016,,35.622233,,,0
Kepler-1452 b,2.7016100,2.7016100,Transit,2016,,42.913751,,,0
Kepler-1453 b,2.6679800,2.6679800,Transit,2016,,47.161170,,,0
Kepler-1454 b,1.8832800,1.8832800,Transit,2016,,47.031948,,,0
Kepler-1455 b,2.1635300,2.1635300,Transit,2016,,49.276764,,,0
Kepler-1456 b,1.1434200,1.1434200,Transit,2016,,18.137383,,,0
Kepler-1457 b,1.9953800,1.9953800,Transit,2016,,51.111024,,,0
Kepler-1458 b,2.7576600,2.7576600,Transit,2016,,47.987276,,,0
Kepler-1459 b,1.3564100,1.3564100,Transit,2016,,62.869161,,,0
Kepler-146 b,3.7105100,3.7105100,Transit,2014,0.20000000,31.158799,,,0
Kepler-146 c,3.1275900,3.1275900,Transit,2014,0.36400000,76.732171,,,0
Kepler-1460 b,1.9617500,1.9617500,Transit,2016,,29.963325,,,0
Kepler-1461 b,2.0290100,2.0290100,Transit,2016,,29.349477,,,0
Kepler-1462 b,3.8226100,3.8226100,Transit,2016,,65.648834,,,0
Kepler-1463 b,1.8608600,1.8608600,Transit,2016,,25.158640,,,0
Kepler-1464 b,1.6590800,1.6590800,Transit,2016,,31.778590,,,0
Kepler-1464 c,0.99769000,0.99769000,Transit,2016,,5.3278629,,,0
Kepler-1465 b,1.7711800,1.7711800,Transit,2016,,31.827711,,,0
Kepler-1466 b,1.5469800,1.5469800,Transit,2016,,31.175045,,,0
Kepler-1467 b,3.2957400,3.2957400,Transit,2016,,47.056904,,,0
Kepler-1468 b,1.7263400,1.7263400,Transit,2016,,8.2398487,,,0
Kepler-1468 c,1.1546300,1.1546300,Transit,2016,,3.5455302,,,0
Kepler-1469 b,2.8025000,2.8025000,Transit,2016,,21.863530,,,0
Kepler-147 b,1.5245600,1.5245600,Transit,2014,0.11300000,12.610584,,,0
Kepler-147 c,2.4325700,2.4325700,Transit,2014,0.21600000,33.416423,,,0
Kepler-1470 b,1.0649500,1.0649500,Transit,2016,,16.295090,,,0
Kepler-1471 b,1.4124600,1.4124600,Transit,2016,,3.6389940,,,0
Kepler-1472 b,1.9057000,1.9057000,Transit,2016,,38.131283,,,0
Kepler-1473 b,1.1882600,1.1882600,Transit,2016,,14.427355,,,0
Kepler-1474 b,2.1635300,2.1635300,Transit,2016,,36.433345,,,0
Kepler-1475 b,2.9258100,2.9258100,Transit,2016,,82.177374,,,0
Kepler-1476 b,1.6702900,1.6702900,Transit,2016,,10.358632,,,0
Kepler-1477 b,1.1770500,1.1770500,Transit,2016,,11.555300,,,0
Kepler-1478 b,1.7263400,1.7263400,Transit,2016,,26.084059,,,0
Kepler-1479 b,1.8272300,1.8272300,Transit,2016,,14.532614,,,0
Kepler-148 b,1.8048100,1.8048100,Transit,2014,0.028000000,1.7293660,,,0
Kepler-148 c,3.5984100,3.5984100,Transit,2014,0.050000000,4.1800430,,,0
Kepler-148 d,8.6765400,8.6765400,Transit,2016,,51.846886,,,0
Kepler-1480 b,1.6702900,1.6702900,Transit,2016,,22.126799,,,0
Kepler-1481 b,1.2331000,1.2331000,Transit,2016,,5.9422100,,,0
Kepler-1482 b,1.0089000,1.0089000,Transit,2016,,12.253832,,,0
Kepler-1483 b,1.5245600,1.5245600,Transit,2016,,9.5085156,,,0
Kepler-1484 b,2.1074800,2.1074800,Transit,2016,,30.454914,,,0
Kepler-1485 b,1.4685100,1.4685100,Transit,2016,,19.915772,,,0
Kepler-1486 b,2.3204700,2.3204700,Transit,2016,,54.649576,,,0
Kepler-1487 b,2.1299000,2.1299000,Transit,2016,,7.3194636,,,0
Kepler-1488 b,1.8608600,1.8608600,Transit,2016,,39.818993,,,0
Kepler-1489 b,1.7711800,1.7711800,Transit,2016,,82.294751,,,0
Kepler-149 b,4.2149600,4.2149600,Transit,2014,0.18400000,29.198943,,,0
Kepler-149 c,1.6142400,1.6142400,Transit,2014,0.28100000,55.328328,,,0
Kepler-149 d,3.9571300,3.9571300,Transit,2014,0.57100000,160.01803,,,0
Kepler-1490 b,3.0379100,3.0379100,Transit,2016,,92.436297,,,0
Kepler-1491 b,1.5133500,1.5133500,Transit,2016,,16.586176,,,0
Kepler-1492 b,1.4909300,1.4909300,Transit,2016,,16.752550,,,0
Kepler-1493 b,1.4124600,1.4124600,Transit,2016,,15.021798,,,0
Kepler-1494 b,3.0715400,3.0715400,Transit,2016,,91.080482,,,0
Kepler-1495 b,2.9370200,2.9370200,Transit,2016,,85.273256,,,0
Kepler-1496 b,2.2195800,2.2195800,Transit,2016,,64.658802,,,0
Kepler-1497 b,1.6590800,1.6590800,Transit,2016,,8.7419977,,,0
Kepler-1498 b,1.3339900,1.3339900,Transit,2016,,48.051405,,,0
Kepler-1499 b,1.1882600,1.1882600,Transit,2016,,44.200800,,,0
Kepler-15 b,10.761600,10.761600,Transit,2011,0.057140000,4.9427820,209.76648,0.16830831,0
Kepler-150 b,1.2555200,1.2555200,Transit,2014,0.044000000,3.4280540,,,0
Kepler-150 c,3.6880900,3.6880900,Transit,2014,0.073000000,7.3819980,,,0
Kepler-150 d,2.7912900,2.7912900,Transit,2014,0.10400000,12.560930,,,0
Kepler-150 e,3.1163800,3.1163800,Transit,2014,0.18900000,30.826557,,,0
Kepler-150 f,3.6432500,3.6432500,Transit,2017,1.2400000,637.20930,,,1
Kepler-1500 b,1.1994700,1.1994700,Transit,2016,,15.033010,,,0
Kepler-1501 b,1.5581900,1.5581900,Transit,2016,,14.556453,,,0
Kepler-1502 b,3.1836400,3.1836400,Transit,2016,,41.708363,,,0
Kepler-1503 b,2.2756300,2.2756300,Transit,2016,,96.169870,,,0
Kepler-1504 b,2.1299000,2.1299000,Transit,2016,,82.304003,,,0
Kepler-1505 b,0.93043000,0.93043000,Transit,2016,,30.860937,,,0
Kepler-1506 b,1.3227800,1.3227800,Transit,2016,,14.032915,,,0
Kepler-1507 b,0.84075000,0.84075000,Transit,2016,,16.050621,,,0
Kepler-1508 b,1.3339900,1.3339900,Transit,2016,,20.705650,,,0
Kepler-1509 b,1.8496500,1.8496500,Transit,2016,,25.433820,,,0
Kepler-151 b,3.0603300,3.0603300,Transit,2014,0.11600000,15.228958,,,0
Kepler-151 c,2.0850600,2.0850600,Transit,2014,0.16000000,24.674612,,,0
Kepler-1510 b,3.3630000,3.3630000,Transit,2016,,84.703921,,,0
Kepler-1511 b,1.6815000,1.6815000,Transit,2016,,23.238279,,,0
Kepler-1512 b,1.1770500,1.1770500,Transit,2016,,20.359726,,,0
Kepler-1513 b,8.4635500,8.4635500,Transit,2016,,160.88465,,,0
Kepler-1514 b,11.826550,11.826550,Transit,2016,,217.83176,,,0
Kepler-1515 b,9.5509200,9.5509200,Transit,2016,,214.31142,,,0
Kepler-1516 b,1.7487600,1.7487600,Transit,2016,,7.2593198,,,0
Kepler-1517 b,9.7639100,9.7639100,Transit,2016,,5.5460837,,,0
Kepler-1518 b,3.0491200,3.0491200,Transit,2016,,5.1117790,,,0
Kepler-1519 b,7.0623000,7.0623000,Transit,2016,,240.79894,,,0
Kepler-152 b,2.7912900,2.7912900,Transit,2014,0.12400000,18.207973,,,0
Kepler-152 c,2.3877300,2.3877300,Transit,2014,0.35600000,88.255055,,,0
Kepler-1520 b,5.7731500,5.7731500,Transit,2016,,0.65355357,,,0
Kepler-1521 b,2.4998300,2.4998300,Transit,2016,,47.148408,,,0
Kepler-1522 b,1.7263400,1.7263400,Transit,2016,,1.8478892,,,0
Kepler-1523 b,1.5806100,1.5806100,Transit,2016,,0.93875077,,,0
Kepler-1524 b,3.5423600,3.5423600,Transit,2016,,70.967460,,,0
Kepler-1525 b,0.90801000,0.90801000,Transit,2016,,2.4166012,,,0
Kepler-1526 b,2.4325700,2.4325700,Transit,2016,,3.9086320,,,0
Kepler-1527 b,4.7754600,4.7754600,Transit,2016,,160.12992,,,0
Kepler-1528 b,1.4573000,1.4573000,Transit,2016,,1.7911102,,,0
Kepler-1529 b,2.0962700,2.0962700,Transit,2016,,5.3390569,,,0
Kepler-153 b,2.9258100,2.9258100,Transit,2014,0.12900000,18.870227,,,0
Kepler-153 c,2.5334600,2.5334600,Transit,2014,0.23700000,46.902320,,,0
Kepler-1530 b,1.6366600,1.6366600,Transit,2016,,2.5904434,,,0
Kepler-1530 c,1.6478700,1.6478700,Transit,2016,,5.3227406,,,0
Kepler-1531 b,1.1097900,1.1097900,Transit,2016,,1.1385434,,,0
Kepler-1532 b,1.3452000,1.3452000,Transit,2016,,1.0936636,,,0
Kepler-1533 b,3.4638900,3.4638900,Transit,2016,,308.54710,,,0
Kepler-1534 b,1.8944900,1.8944900,Transit,2016,,5.7166887,,,0
Kepler-1535 b,2.5446700,2.5446700,Transit,2016,,138.94420,,,0
Kepler-1536 b,3.1388000,3.1388000,Transit,2016,,364.75803,,,0
Kepler-1537 b,1.1770500,1.1770500,Transit,2016,,1.4444538,,,0
Kepler-1538 b,2.8249200,2.8249200,Transit,2016,,175.13882,,,0
Kepler-1539 b,2.7016100,2.7016100,Transit,2016,,133.30367,,,0
Kepler-154 b,2.2644200,2.2644200,Transit,2014,0.19800000,33.040532,,,0
Kepler-154 c,2.9482300,2.9482300,Transit,2014,0.30300000,62.303276,,,0
Kepler-154 d,3.8450300,3.8450300,Transit,2016,,20.549819,,,0
Kepler-154 e,1.5021400,1.5021400,Transit,2016,,3.9327647,,,0
Kepler-154 f,1.5021400,1.5021400,Transit,2016,,9.9193568,,,0
Kepler-1540 b,2.4886200,2.4886200,Transit,2016,,125.41312,,,1
Kepler-1541 b,1.1546300,1.1546300,Transit,2016,,8.4069120,,,0
Kepler-1542 b,0.76228000,0.76228000,Transit,2016,,3.9511688,,,0
Kepler-1542 c,0.65018000,0.65018000,Transit,2016,,2.8922302,,,0
Kepler-1542 d,0.87438000,0.87438000,Transit,2016,,5.9927374,,,0
Kepler-1542 e,0.76228000,0.76228000,Transit,2016,,5.1011576,,,0
Kepler-1543 b,2.7128200,2.7128200,Transit,2016,,6.9671027,,,0
Kepler-1544 b,1.7823900,1.7823900,Transit,2016,,168.81117,,,1
Kepler-1545 b,2.7016100,2.7016100,Transit,2016,,163.69235,,,0
Kepler-1546 b,3.1275900,3.1275900,Transit,2016,,19.597497,,,0
Kepler-1547 b,0.89680000,0.89680000,Transit,2016,,0.69297968,,,0
Kepler-1548 b,2.6455600,2.6455600,Transit,2016,,124.82868,,,0
Kepler-1549 b,2.5670900,2.5670900,Transit,2016,,214.88655,,,1
Kepler-155 b,2.0850600,2.0850600,Transit,2014,0.056000000,5.9311940,,,0
Kepler-155 c,2.2420000,2.2420000,Transit,2014,0.24200000,52.661793,,,0
Kepler-1550 b,3.0154900,3.0154900,Transit,2016,,225.58281,,,0
Kepler-1551 b,2.6567700,2.6567700,Transit,2016,,24.497370,,,0
Kepler-1552 b,2.4662000,2.4662000,Transit,2016,,184.77185,,,1
Kepler-1553 b,1.1546300,1.1546300,Transit,2016,,4.2426188,,,0
Kepler-1554 b,2.9033900,2.9033900,Transit,2016,,198.08877,,,0
Kepler-1555 b,1.6142400,1.6142400,Transit,2016,,8.1050163,,,0
Kepler-1556 b,1.9617500,1.9617500,Transit,2016,,8.8271346,,,0
Kepler-1557 b,1.5245600,1.5245600,Transit,2016,,3.7403250,,,0
Kepler-1558 b,0.68381000,0.68381000,Transit,2016,,3.5047036,,,0
Kepler-1559 b,0.71744000,0.71744000,Transit,2016,,0.97191543,,,0
Kepler-156 b,2.2980500,2.2980500,Transit,2014,0.054000000,4.9734560,,,0
Kepler-156 c,2.5446700,2.5446700,Transit,2014,0.11700000,15.906801,,,0
Kepler-1560 b,0.88559000,0.88559000,Transit,2016,,3.0319574,,,0
Kepler-1561 b,1.0873700,1.0873700,Transit,2016,,1.0052070,,,0
Kepler-1562 b,3.5535700,3.5535700,Transit,2016,,64.273775,,,0
Kepler-1563 b,0.75107000,0.75107000,Transit,2016,,3.4327660,,,0
Kepler-1564 b,1.4685100,1.4685100,Transit,2016,,18.054038,,,0
Kepler-1565 b,1.1882600,1.1882600,Transit,2016,,1.5381884,,,0
Kepler-1566 b,0.78470000,0.78470000,Transit,2016,,0.53991524,,,0
Kepler-1567 b,2.7352400,2.7352400,Transit,2016,,153.97958,,,0
Kepler-1568 b,1.3003600,1.3003600,Transit,2016,,20.925392,,,0
Kepler-1569 b,1.6815000,1.6815000,Transit,2016,,5.7918016,,,0
Kepler-157 b,1.3227800,1.3227800,Transit,2014,0.028000000,1.7323420,,,0
Kepler-157 c,2.2420000,2.2420000,Transit,2014,0.11000000,13.540500,,,0
Kepler-157 d,1.4573000,1.4573000,Transit,2016,,7.0257347,,,0
Kepler-1570 b,1.0649500,1.0649500,Transit,2016,,26.548955,,,0
Kepler-1571 b,1.5245600,1.5245600,Transit,2016,,3.3855549,,,0
Kepler-1572 b,0.94164000,0.94164000,Transit,2016,,5.4954862,,,0
Kepler-1573 b,1.1994700,1.1994700,Transit,2016,,2.6157554,,,0
Kepler-1574 b,1.2891500,1.2891500,Transit,2016,,6.9424334,,,0
Kepler-1575 b,1.3115700,1.3115700,Transit,2016,,2.5531421,,,0
Kepler-1576 b,1.0425300,1.0425300,Transit,2016,,6.9847197,,,0
Kepler-1577 b,1.1322100,1.1322100,Transit,2016,,6.3056025,,,0
Kepler-1578 b,1.0425300,1.0425300,Transit,2016,,1.4508869,,,0
Kepler-1579 b,0.84075000,0.84075000,Transit,2016,,0.84990789,,,0
Kepler-158 b,2.1186900,2.1186900,Transit,2014,0.11100000,16.709184,,,0
Kepler-158 c,1.9057000,1.9057000,Transit,2014,0.15800000,28.551383,,,0
Kepler-1580 b,2.1074800,2.1074800,Transit,2016,,56.644928,,,0
Kepler-1581 b,0.79591000,0.79591000,Transit,2016,,6.2838549,,,0
Kepler-1582 b,1.4909300,1.4909300,Transit,2016,,4.8381771,,,0
Kepler-1583 b,0.60534000,0.60534000,Transit,2016,,9.3280735,,,0
Kepler-1584 b,1.6142400,1.6142400,Transit,2016,,13.399710,,,0
Kepler-1585 b,1.7936000,1.7936000,Transit,2016,,3.5827463,,,0
Kepler-1586 b,1.5245600,1.5245600,Transit,2016,,15.604921,,,0
Kepler-1587 b,1.3339900,1.3339900,Transit,2016,,9.4060467,,,0
Kepler-1588 b,0.76228000,0.76228000,Transit,2016,,7.8493174,,,0
Kepler-1589 b,1.0873700,1.0873700,Transit,2016,,0.99166527,,,0
Kepler-159 b,2.3765200,2.3765200,Transit,2014,0.082000000,10.139623,,,0
Kepler-159 c,3.4078400,3.4078400,Transit,2014,0.21800000,43.595792,,,0
Kepler-1590 b,1.1434200,1.1434200,Transit,2016,,7.6176080,,,0
Kepler-1591 b,1.2667300,1.2667300,Transit,2016,,8.1850495,,,0
Kepler-1592 b,1.5357700,1.5357700,Transit,2016,,3.0571007,,,0
Kepler-1593 b,3.1724300,3.1724300,Transit,2016,,174.50984,,,1
Kepler-1594 b,1.0649500,1.0649500,Transit,2016,,2.7160381,,,0
Kepler-1595 b,1.2331000,1.2331000,Transit,2016,,4.5638047,,,0
Kepler-1596 b,1.9057000,1.9057000,Transit,2016,,66.373379,,,0
Kepler-1597 b,1.0649500,1.0649500,Transit,2016,,2.9465418,,,0
Kepler-1598 b,0.95285000,0.95285000,Transit,2016,,4.3419512,,,0
Kepler-1599 b,1.6254500,1.6254500,Transit,2016,,122.36355,,,0
Kepler-16 b,8.4523400,8.4523400,Transit,2011,0.70480000,228.77600,105.83672,0.17526916,1
Kepler-160 b,1.5357700,1.5357700,Transit,2014,0.050000000,4.3094270,,,0
Kepler-160 c,3.6096200,3.6096200,Transit,2014,0.10900000,13.699087,,,0
Kepler-1600 b,3.1275900,3.1275900,Transit,2016,,386.37055,,,1
Kepler-1601 b,0.81833000,0.81833000,Transit,2016,,2.2092195,,,0
Kepler-1602 b,1.3452000,1.3452000,Transit,2016,,11.179316,,,0
Kepler-1603 b,1.2891500,1.2891500,Transit,2016,,2.2716393,,,0
Kepler-1604 b,1.4124600,1.4124600,Transit,2016,,0.68368426,,,0
Kepler-1605 b,1.0761600,1.0761600,Transit,2016,,85.756550,,,0
Kepler-1606 b,2.0738500,2.0738500,Transit,2016,,196.43522,,,0
Kepler-1607 b,0.91922000,0.91922000,Transit,2016,,13.647368,,,0
Kepler-1608 b,1.7263400,1.7263400,Transit,2016,,16.473569,,,0
Kepler-1609 b,2.2195800,2.2195800,Transit,2016,,114.34219,,,0
Kepler-161 b,2.1186900,2.1186900,Transit,2014,0.054000000,4.9213550,,,0
Kepler-161 c,2.0514300,2.0514300,Transit,2014,0.068000000,7.0642400,,,0
Kepler-1610 b,1.6142400,1.6142400,Transit,2016,,8.7018157,,,0
Kepler-1611 b,0.80712000,0.80712000,Transit,2016,,5.1762429,,,0
Kepler-1612 b,1.0313200,1.0313200,Transit,2016,,3.9179510,,,0
Kepler-1613 b,2.0850600,2.0850600,Transit,2016,,1.5184299,,,0
Kepler-1614 b,1.4909300,1.4909300,Transit,2016,,3.9466141,,,0
Kepler-1615 b,2.0626400,2.0626400,Transit,2016,,47.312619,,,0
Kepler-1616 b,1.0201100,1.0201100,Transit,2016,,6.7628438,,,0
Kepler-1617 b,1.1994700,1.1994700,Transit,2016,,27.478557,,,0
Kepler-1618 b,1.2555200,1.2555200,Transit,2016,,6.1082602,,,0
Kepler-1619 b,0.76228000,0.76228000,Transit,2016,,23.622591,,,0
Kepler-162 b,1.2555200,1.2555200,Transit,2014,0.069000000,6.9197980,,,0
Kepler-162 c,3.0267000,3.0267000,Transit,2014,0.13700000,19.446355,,,0
Kepler-1620 b,1.6142400,1.6142400,Transit,2016,,101.95183,,,0
Kepler-1621 b,2.1635300,2.1635300,Transit,2016,,92.263714,,,0
Kepler-1622 b,1.4685100,1.4685100,Transit,2016,,10.811874,,,0
Kepler-1623 b,1.3115700,1.3115700,Transit,2016,,4.3612835,,,0
Kepler-1624 b,5.7058900,5.7058900,Transit,2016,,3.2903045,,,0
Kepler-1625 b,6.0646100,6.0646100,Transit,2016,,287.37895,,,1
Kepler-1626 b,2.0178000,2.0178000,Transit,2016,,4.1396297,,,0
Kepler-1627 b,3.6880900,3.6880900,Transit,2016,,7.2028365,,,0
Kepler-1628 b,6.4345400,6.4345400,Transit,2016,,76.378033,,,1
Kepler-1629 b,0.77349000,0.77349000,Transit,2016,,3.8759581,,,0
Kepler-163 b,1.0537400,1.0537400,Transit,2014,0.078000000,7.8109370,,,0
Kepler-163 c,2.2644200,2.2644200,Transit,2014,0.15200000,21.347262,,,0
Kepler-1630 b,2.1859500,2.1859500,Transit,2016,,509.99740,,,0
Kepler-1631 b,1.3452000,1.3452000,Transit,2016,,4.0951393,,,0
Kepler-1632 b,2.4662000,2.4662000,Transit,2016,,448.30356,,,0
Kepler-1633 b,1.5806100,1.5806100,Transit,2016,,186.40427,,,0
Kepler-1634 b,3.1948500,3.1948500,Transit,2016,,374.87624,,,1
Kepler-1635 b,3.6432500,3.6432500,Transit,2016,,469.63111,,,1
Kepler-1636 b,3.2284800,3.2284800,Transit,2016,,425.47785,,,1
Kepler-1637 b,0.88559000,0.88559000,Transit,2016,,6.1096032,,,0
Kepler-1638 b,1.8720700,1.8720700,Transit,2016,,259.33683,,,0
Kepler-1639 b,2.5783000,2.5783000,Transit,2016,,9.8784820,,,0
Kepler-164 b,1.4124600,1.4124600,Transit,2014,0.058000000,5.0350300,,,0
Kepler-164 c,2.7352400,2.7352400,Transit,2014,0.097000000,10.945723,,,0
Kepler-164 d,2.4549900,2.4549900,Transit,2014,0.18700000,28.986769,,,0
Kepler-1640 b,4.8203000,4.8203000,Transit,2016,,7.5844126,,,0
Kepler-1641 b,3.1051700,3.1051700,Transit,2016,,19.672266,,,0
Kepler-1641 c,2.9482300,2.9482300,Transit,2016,,32.657212,,,0
Kepler-1642 b,3.1948500,3.1948500,Transit,2016,,12.205751,,,0
Kepler-1642 c,2.6567700,2.6567700,Transit,2016,,6.6513802,,,0
Kepler-1643 b,2.2980500,2.2980500,Transit,2016,,5.3426451,,,0
Kepler-1644 b,1.8832800,1.8832800,Transit,2016,,21.090776,,,0
Kepler-1645 b,1.7823900,1.7823900,Transit,2016,,16.177956,,,0
Kepler-1646 b,1.2331000,1.2331000,Transit,2016,,4.4855838,,,0
Kepler-1647 b,11.871390,11.871390,Transit,2016,2.7205000,1107.5923,482.99686,0.28869521,1
Kepler-1649 b,1.0761600,1.0761600,Transit,2017,0.051400000,8.6890900,,,0
Kepler-165 b,2.3204700,2.3204700,Transit,2014,0.072000000,8.1808480,,,0
Kepler-165 c,2.2307900,2.2307900,Transit,2014,0.11000000,15.312990,,,0
Kepler-1650 b,0.96406000,0.96406000,Transit,2017,,1.5381800,,,0
Kepler-1651 b,1.8384400,1.8384400,Transit,2017,,9.8786392,,,0
Kepler-1652 b,1.6030300,1.6030300,Transit,2017,0.16540000,38.097220,,,1
Kepler-1653 b,2.1747400,2.1747400,Transit,2017,0.47060000,140.25240,,,1
Kepler-1654 b,9.1809900,9.1809900,Transit,2018,2.0260000,1047.8356,158.91400,0.20534948,0
Kepler-1655 b,2.2083700,2.2083700,Transit,2018,0.10300000,11.872879,4.9994345,0.46420024,0
Kepler-1656 b,5.0220800,5.0220800,Transit,2018,0.19700000,31.578659,48.599080,0.38368707,0
Kepler-1658 b,11.994700,11.994700,Transit,2019,0.054400000,3.8493728,1868.8287,1.0829323,0
Kepler-166 b,2.2756300,2.2756300,Transit,2014,0.072000000,7.6502540,,,0
Kepler-166 c,2.3765200,2.3765200,Transit,2014,0.19500000,34.260281,,,0
Kepler-166 d,1.7263400,1.7263400,Transit,2016,,1.5540039,,,0
Kepler-167 b,1.6142400,1.6142400,Transit,2014,0.048300000,4.3931632,,,0
Kepler-167 c,1.5469800,1.5469800,Transit,2014,0.068400000,7.4061140,,,0
Kepler-167 d,1.1994700,1.1994700,Transit,2016,0.14050000,21.803855,,,0
Kepler-167 e,10.156260,10.156260,Transit,2016,1.8900000,1071.2323,,,0
Kepler-168 b,1.4573000,1.4573000,Transit,2014,0.056000000,4.4253910,,,0
Kepler-168 c,2.6904000,2.6904000,Transit,2014,0.11600000,13.193242,,,0
Kepler-169 b,1.1322100,1.1322100,Transit,2014,0.040000000,3.2506190,,,0
Kepler-169 c,1.2106800,1.2106800,Transit,2014,0.062000000,6.1954690,,,0
Kepler-169 d,1.2555200,1.2555200,Transit,2014,0.075000000,8.3481250,,,0
Kepler-169 e,2.1971600,2.1971600,Transit,2014,0.10500000,13.767102,,,0
Kepler-169 f,2.5783000,2.5783000,Transit,2014,0.35900000,87.090195,,,0
Kepler-17 b,14.685100,14.685100,Transit,2011,0.025910000,1.4857108,778.67861,0.24588244,0
Kepler-170 b,3.1948500,3.1948500,Transit,2014,0.080000000,7.9305920,,,0
Kepler-170 c,2.8585500,2.8585500,Transit,2014,0.13100000,16.665863,,,0
Kepler-171 b,2.3428900,2.3428900,Transit,2014,0.050000000,4.1669720,,,0
Kepler-171 c,2.5558800,2.5558800,Transit,2014,0.098000000,11.463462,,,0
Kepler-171 d,1.8944900,1.8944900,Transit,2014,0.22300000,39.595519,,,0
Kepler-172 b,2.3541000,2.3541000,Transit,2014,0.040000000,2.9403090,,,0
Kepler-172 c,2.8585500,2.8585500,Transit,2014,0.068000000,6.3889960,,,0
Kepler-172 d,2.2532100,2.2532100,Transit,2014,0.11800000,14.627119,,,0
Kepler-172 e,2.7576600,2.7576600,Transit,2014,0.21100000,35.118736,,,0
Kepler-173 b,1.2891500,1.2891500,Transit,2014,0.048000000,4.2637420,,,0
Kepler-173 c,2.4325700,2.4325700,Transit,2014,0.074000000,8.0057770,,,0
Kepler-174 b,1.9617500,1.9617500,Transit,2014,0.10000000,13.981790,,,0
Kepler-174 c,1.4909300,1.4909300,Transit,2014,0.21400000,44.000529,,,0
